iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,16219.987305,2.624093,0.469466,69,0.291314,0.536320,0.481960,0.000000,0.998990,0.018650,-0.150050,0.444450,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,17382.421875,2.516894,0.455525,70,0.319081,0.537651,0.492860,0.081617,1.101882,-0.011150,-0.136072,0.434584,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,15306.445312,2.422288,0.444460,82,0.346309,0.527774,0.505086,0.155541,1.192316,-0.039642,-0.122292,0.425462,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,15924.218750,2.337854,0.426578,76,0.371704,0.522185,0.502477,0.227583,1.259682,-0.059494,-0.110598,0.407674,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,15239.583008,2.260492,0.408267,83,0.396614,0.520943,0.501602,0.299085,1.298235,-0.065486,-0.100263,0.390308,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,13151.237305,2.196306,0.384110,89,0.416833,0.531923,0.487973,0.357315,1.345030,-0.079402,-0.089331,0.365042,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,13555.664062,2.138022,0.346271,90,0.435650,0.532720,0.453944,0.415763,1.376581,-0.085332,-0.078686,0.326237,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,12654.622070,2.084057,0.319695,96,0.453227,0.528924,0.441199,0.469102,1.398733,-0.086903,-0.070397,0.299494,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,11979.948242,2.033606,0.288800,95,0.469887,0.540999,0.422408,0.520572,1.418183,-0.087420,-0.061863,0.268210,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,12038.932617,1.987162,0.262896,111,0.486440,0.557791,0.412075,0.567466,1.433876,-0.086518,-0.055267,0.242021,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,10521.875000,1.943754,0.241189,110,0.503154,0.559687,0.409742,0.610931,1.443695,-0.082350,-0.049610,0.221199,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,10741.796875,1.904088,0.217302,103,0.517658,0.584822,0.403938,0.651495,1.451973,-0.077784,-0.044525,0.197958,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,9300.715820,1.867592,0.199878,103,0.534372,0.608117,0.406225,0.687080,1.461834,-0.075141,-0.040141,0.180814,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,8697.916992,1.836101,0.181313,102,0.544293,0.620830,0.406598,0.718392,1.468548,-0.070974,-0.035599,0.163003,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
