iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,3861.197998,2.574322,0.199027,45,0.166819,0.405828,0.138050,0.000000,1.801500,-0.006130,-0.132460,-0.148420,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,3530.143311,2.428340,0.175225,53,0.193778,0.399468,0.225264,0.129287,1.784753,-0.000421,-0.117878,-0.129647,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,3710.091064,2.306823,0.163660,54,0.220898,0.437038,0.273235,0.243073,1.770240,0.004021,-0.105823,-0.124779,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,3437.434814,2.208322,0.144826,59,0.247911,0.457220,0.328937,0.332290,1.770601,0.001014,-0.092734,-0.111238,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,2430.143311,2.121597,0.139105,64,0.274923,0.454061,0.353375,0.415858,1.764719,0.000485,-0.082109,-0.112285,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,2781.445312,2.049654,0.128591,71,0.301127,0.479643,0.387491,0.482660,1.752765,0.003392,-0.074451,-0.104791,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,2503.320312,1.988644,0.127293,77,0.325120,0.480005,0.401924,0.542100,1.736729,0.009350,-0.067458,-0.107543,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,2204.101562,1.935931,0.117953,78,0.350623,0.505318,0.428946,0.591008,1.727623,0.011177,-0.061263,-0.100174,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,2107.096436,1.889570,0.107664,77,0.374131,0.532459,0.455246,0.633773,1.721874,0.010808,-0.055823,-0.091425,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1829.622437,1.850338,0.100130,80,0.397153,0.538651,0.474657,0.670507,1.720140,0.007576,-0.051014,-0.085827,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1625.325562,1.814784,0.095704,90,0.419367,0.534992,0.488481,0.704524,1.713744,0.007762,-0.046507,-0.083284,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1531.835938,1.783237,0.089891,91,0.440718,0.521400,0.503920,0.734397,1.704973,0.009824,-0.042863,-0.078400,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
