iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,14730.664062,2.985072,0.200448,41,0.150536,0.392917,-0.806720,0.000000,1.262890,0.073020,-0.164180,-0.088840,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,19708.203125,2.782014,0.178937,46,0.175878,0.399361,-0.655800,0.135156,1.336672,0.066829,-0.144050,-0.082473,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,15710.090820,2.614172,0.161250,51,0.202513,0.422186,-0.525191,0.246618,1.389374,0.062742,-0.127845,-0.075636,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,16447.134766,2.477428,0.146500,61,0.228177,0.431350,-0.420997,0.340071,1.432004,0.058200,-0.113074,-0.072728,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,15705.143555,2.361900,0.132777,62,0.254543,0.444627,-0.327728,0.417486,1.466786,0.053122,-0.100539,-0.068555,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,14161.979492,2.262022,0.123804,73,0.280962,0.462560,-0.248056,0.486980,1.488507,0.051592,-0.090963,-0.066268,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,13921.028320,2.177905,0.113090,71,0.305117,0.486239,-0.177137,0.543772,1.511550,0.047226,-0.081067,-0.063143,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,12511.523438,2.104328,0.106104,77,0.330296,0.502448,-0.113759,0.594467,1.524041,0.046652,-0.073697,-0.060418,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,11695.117188,2.039047,0.100882,74,0.356230,0.510881,-0.060156,0.641190,1.535097,0.045283,-0.067137,-0.060159,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,10906.575195,1.983926,0.095341,83,0.377581,0.554493,-0.009908,0.679019,1.543767,0.044132,-0.061527,-0.057936,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,10087.890625,1.934624,0.090497,94,0.399526,0.551673,0.035795,0.713127,1.550581,0.043275,-0.056615,-0.055783,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
