iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,7321.158691,2.510875,0.195759,49,0.205208,0.486635,0.767190,0.000000,1.982800,0.154010,-0.061670,-0.103920,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,6787.955566,2.382402,0.158709,61,0.230981,0.490378,0.815187,0.131158,1.995317,0.129486,-0.051585,-0.075899,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,5803.060059,2.272075,0.144152,59,0.257346,0.535305,0.796775,0.241534,1.993866,0.111182,-0.045056,-0.079926,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,5259.310059,2.180262,0.127026,65,0.283766,0.547513,0.795831,0.333480,1.990068,0.094303,-0.040478,-0.074860,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,4654.492188,2.100258,0.111107,77,0.309053,0.543741,0.789573,0.413876,1.990003,0.075344,-0.036963,-0.072813,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,4320.312500,2.031796,0.093291,77,0.332722,0.550763,0.799711,0.481924,1.980425,0.062550,-0.033178,-0.060745,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,3792.968750,1.973544,0.084555,79,0.356554,0.594389,0.808072,0.537832,1.953474,0.061880,-0.029794,-0.049323,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,3369.726562,1.921674,0.071377,78,0.379954,0.605740,0.812514,0.588921,1.941571,0.052596,-0.026953,-0.040022,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,3198.372314,1.876373,0.069192,92,0.402060,0.589016,0.798804,0.632355,1.924062,0.048010,-0.024648,-0.043302,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,2602.799561,1.835538,0.062327,90,0.423842,0.593114,0.794282,0.672062,1.910874,0.041430,-0.023049,-0.040460,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,2268.880127,1.801005,0.063420,88,0.445625,0.709992,0.783168,0.704735,1.889799,0.041697,-0.020916,-0.042964,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,2075.065186,1.768682,0.060267,92,0.465574,0.658876,0.780125,0.735742,1.871337,0.041120,-0.019257,-0.039629,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,1745.638062,1.740521,0.054441,111,0.485739,0.660701,0.780840,0.762987,1.856063,0.039047,-0.017534,-0.033641,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1538.997437,1.714523,0.049337,111,0.503532,0.668861,0.774501,0.788405,1.847122,0.032780,-0.016044,-0.033199,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1295.963501,1.691513,0.046059,112,0.520731,0.696020,0.767073,0.810874,1.838200,0.027093,-0.015027,-0.034083,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1173.893188,1.670858,0.044187,120,0.537014,0.731562,0.761035,0.830926,1.826398,0.024455,-0.013864,-0.034092,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,968.098938,1.651881,0.040396,117,0.555508,0.748055,0.758517,0.849418,1.814940,0.022089,-0.012581,-0.031395,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,793.815125,1.635539,0.037710,119,0.567855,0.643597,0.754743,0.865383,1.804700,0.019513,-0.012099,-0.029915,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,728.776062,1.620350,0.031127,118,0.581388,0.764340,0.756675,0.880298,1.795298,0.016789,-0.011133,-0.023730,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,599.283875,1.606465,0.027428,118,0.595892,0.726345,0.752892,0.894027,1.789633,0.011317,-0.010568,-0.022640,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,455.468750,1.593779,0.025130,129,0.609533,0.795268,0.749681,0.906525,1.781151,0.008756,-0.010121,-0.021270,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,418.294281,1.582404,0.026881,118,0.619777,0.769310,0.742066,0.917765,1.771775,0.007444,-0.009369,-0.024071,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
