iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,7592.838379,2.966988,0.351825,37,0.142179,0.343438,-0.358570,0.000000,0.599310,-0.056160,-0.079300,-0.338140,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,7616.471191,2.766838,0.323068,47,0.168006,0.352417,-0.221438,0.128696,0.706629,-0.050182,-0.068852,-0.311632,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,7119.335938,2.608666,0.294862,53,0.193239,0.367840,-0.105366,0.225295,0.801736,-0.049393,-0.060596,-0.284310,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,5526.822754,2.475960,0.274378,52,0.218256,0.383013,-0.019517,0.312863,0.881292,-0.047916,-0.052134,-0.265084,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,6211.002441,2.361368,0.255874,53,0.244352,0.380897,0.054371,0.393354,0.941172,-0.042226,-0.046754,-0.247997,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,5874.023438,2.266200,0.238834,66,0.270232,0.389675,0.117141,0.460218,0.992080,-0.037092,-0.042902,-0.232002,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,5619.856934,2.180387,0.224463,63,0.295304,0.407466,0.170340,0.522117,1.038620,-0.032834,-0.039441,-0.218518,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,5401.367188,2.108629,0.213854,73,0.320267,0.417839,0.211542,0.574972,1.078696,-0.028741,-0.036347,-0.208774,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,5312.435059,2.047893,0.202717,68,0.343182,0.417696,0.249155,0.617244,1.118927,-0.028196,-0.032573,-0.198086,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4861.132812,1.991240,0.192612,81,0.367014,0.446198,0.282806,0.660595,1.147209,-0.022030,-0.030882,-0.188839,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,4738.606934,1.943129,0.185445,84,0.389820,0.433011,0.308878,0.695989,1.178416,-0.020532,-0.027675,-0.182215,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4503.320312,1.900318,0.176650,84,0.411441,0.448219,0.335654,0.728254,1.201873,-0.015977,-0.026626,-0.173899,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,4327.343750,1.862366,0.167423,91,0.432038,0.470247,0.361142,0.754971,1.228394,-0.015638,-0.025169,-0.164780,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,4249.935059,1.826860,0.159302,94,0.453335,0.490869,0.383573,0.781542,1.249948,-0.012929,-0.023618,-0.157010,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,3927.864502,1.796877,0.149042,94,0.472260,0.489390,0.406896,0.802919,1.269416,-0.010783,-0.022729,-0.146903,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,3770.507812,1.768738,0.144220,110,0.490645,0.504946,0.421692,0.824469,1.288218,-0.009121,-0.020596,-0.142450,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,3559.309814,1.744454,0.139482,108,0.508977,0.496108,0.435718,0.842377,1.306567,-0.008793,-0.019173,-0.137878,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,3455.729248,1.721598,0.133409,113,0.526285,0.481044,0.450845,0.859252,1.322971,-0.008110,-0.018814,-0.131826,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,3306.445312,1.700690,0.129663,116,0.541921,0.534790,0.462204,0.875513,1.337009,-0.006437,-0.018003,-0.128246,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,3153.320312,1.681843,0.123248,116,0.557395,0.500221,0.475968,0.889315,1.351006,-0.005668,-0.017116,-0.121922,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,3109.049561,1.664753,0.116914,122,0.573192,0.535226,0.488983,0.902116,1.362648,-0.003972,-0.016783,-0.115635,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2935.612061,1.649998,0.112014,112,0.586564,0.564708,0.499543,0.912218,1.377556,-0.006108,-0.015791,-0.110727,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,2783.268311,1.636505,0.109188,111,0.600367,0.575815,0.507062,0.922045,1.390571,-0.007367,-0.014361,-0.107989,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,2701.822998,1.623203,0.106080,127,0.613900,0.524628,0.514743,0.932571,1.399844,-0.005899,-0.013781,-0.105016,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,2616.927002,1.611337,0.102250,131,0.626516,0.540683,0.522805,0.941628,1.409023,-0.005004,-0.013184,-0.101273,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,2538.281250,1.599871,0.100673,114,0.633687,0.559970,0.528088,0.951296,1.415549,-0.002267,-0.012692,-0.099844,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,2380.859375,1.590130,0.098146,127,0.644093,0.612323,0.534006,0.958683,1.424115,-0.002108,-0.011895,-0.097400,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,2346.679688,1.580730,0.096799,130,0.653745,0.641532,0.538714,0.966873,1.428150,0.001741,-0.011726,-0.096070,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,2294.270752,1.571511,0.096369,122,0.663935,0.591211,0.542135,0.974708,1.433895,0.003795,-0.011018,-0.095662,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
