iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,8798.762695,2.767913,0.181482,53,0.203375,0.538297,-0.147390,0.000000,0.971520,-0.129370,0.108220,-0.066990,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,8564.127930,2.614786,0.166165,59,0.230927,0.557051,-0.045883,0.119260,1.018047,-0.123827,0.095765,-0.055738,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,8122.395996,2.485503,0.150635,57,0.257238,0.594609,0.031286,0.225530,1.051456,-0.113895,0.085100,-0.049768,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,7836.328125,2.373693,0.133899,65,0.283550,0.619254,0.093549,0.321099,1.074814,-0.099959,0.076027,-0.046443,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,7532.486816,2.280665,0.125308,75,0.308190,0.629346,0.148266,0.394857,1.111468,-0.095655,0.069308,-0.041817,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,7345.117188,2.200343,0.114849,78,0.334555,0.656657,0.207453,0.455429,1.144291,-0.091842,0.061799,-0.030598,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,6904.622559,2.130160,0.111965,77,0.359843,0.645703,0.250532,0.508641,1.182017,-0.092699,0.057573,-0.025066,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,7572.721191,2.066565,0.104137,86,0.383943,0.689508,0.287004,0.560553,1.206980,-0.087470,0.052205,-0.021639,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,7140.950684,2.013172,0.096290,88,0.405241,0.708026,0.322292,0.602987,1.229167,-0.082591,0.046756,-0.016258,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,6110.025879,1.964678,0.090463,95,0.428641,0.743607,0.353686,0.641377,1.251587,-0.078926,0.042777,-0.011154,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,5676.041504,1.920262,0.084667,95,0.450100,0.725295,0.376620,0.678376,1.270752,-0.074132,0.039545,-0.010449,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,6007.161621,1.880937,0.082952,103,0.471127,0.760619,0.397551,0.709614,1.293687,-0.073512,0.037271,-0.009375,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,5377.343750,1.845842,0.079247,104,0.490268,0.775305,0.417209,0.738042,1.311953,-0.071103,0.034041,-0.008109,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
