iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,14547.656250,2.521816,0.490755,77,0.324365,0.397791,0.612190,0.000000,1.449060,-0.277710,-0.012420,0.404430,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,13073.437500,2.421132,0.481145,73,0.352294,0.399247,0.615509,0.098484,1.473387,-0.276667,-0.006390,0.393592,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,11462.043945,2.334655,0.454143,81,0.376880,0.417402,0.595888,0.186895,1.473586,-0.263454,0.000140,0.369917,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,11811.262695,2.264973,0.413031,87,0.394781,0.430157,0.559433,0.261962,1.458496,-0.241441,0.005335,0.335070,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,10952.864258,2.201835,0.361732,73,0.409608,0.454019,0.501135,0.333084,1.448966,-0.222104,0.010234,0.285333,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,9973.958008,2.142548,0.314015,94,0.424166,0.482877,0.462256,0.401258,1.429072,-0.195893,0.012923,0.245080,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,9291.406250,2.088418,0.258087,89,0.434572,0.534168,0.413369,0.467856,1.405678,-0.166516,0.016088,0.196525,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,9444.401367,2.035202,0.224280,93,0.450639,0.558758,0.399754,0.526478,1.397032,-0.146204,0.016974,0.169228,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,8257.747070,1.985555,0.202967,94,0.468216,0.601793,0.397265,0.577012,1.403412,-0.136181,0.017966,0.149423,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,8485.090820,1.939734,0.184011,98,0.485523,0.621514,0.408932,0.623174,1.398195,-0.118806,0.016344,0.139564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,7304.557129,1.900205,0.169962,105,0.502885,0.632430,0.412730,0.661296,1.409124,-0.113430,0.016897,0.125439,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,7055.599121,1.864538,0.164409,109,0.521971,0.685674,0.428479,0.692978,1.421672,-0.110395,0.016406,0.120723,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,6824.869629,1.831079,0.153232,102,0.538200,0.712826,0.436512,0.724637,1.429590,-0.104354,0.016705,0.110956,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,6778.515625,1.802053,0.143874,111,0.554591,0.724960,0.447151,0.751600,1.435714,-0.097880,0.016240,0.104190,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,6382.226562,1.775535,0.138581,120,0.567477,0.695717,0.458819,0.775027,1.446347,-0.095697,0.015810,0.098979,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,6150.976562,1.750833,0.127762,121,0.580903,0.722602,0.463585,0.798572,1.452470,-0.090285,0.015725,0.089019,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
