iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,53999.347656,3.040606,0.232144,73,0.361029,0.250566,-0.759370,0.000000,0.903190,-0.153370,0.003510,0.174230,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,48888.480469,2.886651,0.217128,78,0.392732,0.319584,-0.666214,0.116040,0.947612,-0.144040,0.004273,0.162416,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,43645.507812,2.751699,0.204843,88,0.420284,0.404974,-0.575781,0.213110,0.985613,-0.134382,0.004166,0.154547,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,44073.699219,2.632761,0.192694,85,0.444277,0.432650,-0.493485,0.297951,1.017774,-0.124306,0.003375,0.147199,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,41172.527344,2.527599,0.184679,94,0.463579,0.474154,-0.420706,0.369206,1.058679,-0.120529,0.004874,0.139840,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,38722.070312,2.435429,0.177233,95,0.483151,0.472935,-0.351602,0.430157,1.091564,-0.115614,0.004292,0.134263,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,35841.992188,2.350672,0.172528,98,0.505041,0.467788,-0.285332,0.484036,1.125791,-0.112450,0.005229,0.130742,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,33559.894531,2.274876,0.166944,117,0.522726,0.508003,-0.227027,0.532986,1.157264,-0.109653,0.006037,0.125737,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,31206.185547,2.206281,0.160214,104,0.538847,0.507979,-0.172868,0.577937,1.182845,-0.105046,0.006036,0.120820,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,28223.892578,2.144524,0.155220,120,0.557556,0.504955,-0.124081,0.617394,1.210776,-0.103362,0.006969,0.115590,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,26334.960938,2.086971,0.145212,118,0.572330,0.540543,-0.079498,0.657582,1.227622,-0.096082,0.004874,0.108770,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,25323.306641,2.036974,0.143090,124,0.587211,0.577494,-0.033032,0.686973,1.250944,-0.094507,0.004798,0.107333,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,22657.876953,1.991923,0.142053,128,0.603170,0.563667,0.006972,0.713181,1.277831,-0.096629,0.006142,0.103943,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,22096.224609,1.950677,0.139789,123,0.613738,0.564204,0.045288,0.737793,1.299280,-0.096279,0.006534,0.101137,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,20519.921875,1.910996,0.134360,129,0.627002,0.596070,0.083227,0.763451,1.312148,-0.090561,0.004893,0.099134,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,18893.294922,1.875376,0.128829,116,0.640481,0.606311,0.115134,0.786797,1.327019,-0.087220,0.004141,0.094723,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,18082.748047,1.842913,0.122925,128,0.650024,0.594339,0.143141,0.808426,1.341798,-0.084346,0.004531,0.089307,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,16628.841797,1.814173,0.121413,127,0.662263,0.633268,0.173611,0.825116,1.357872,-0.083492,0.005445,0.087981,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,15438.737305,1.788346,0.120032,129,0.671861,0.631719,0.203457,0.839887,1.371187,-0.081915,0.005085,0.087589,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,14822.656250,1.762120,0.115401,128,0.681134,0.644572,0.226978,0.857495,1.384358,-0.080081,0.005901,0.082883,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,13530.598633,1.738047,0.108479,129,0.690031,0.691600,0.247857,0.874630,1.393866,-0.076141,0.005775,0.077051,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,12641.015625,1.717215,0.105908,128,0.696878,0.692807,0.270046,0.887509,1.405988,-0.075288,0.006287,0.074220,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,12183.918945,1.698465,0.107140,132,0.707769,0.722047,0.293128,0.897610,1.420761,-0.077564,0.006849,0.073593,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,11162.629883,1.680634,0.104977,141,0.715803,0.752312,0.313506,0.908667,1.431153,-0.076550,0.006964,0.071496,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,10339.713867,1.664505,0.102822,138,0.721680,0.733169,0.334087,0.918524,1.439313,-0.074353,0.006481,0.070725,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,9859.635742,1.648746,0.101852,131,0.730415,0.692804,0.351265,0.928377,1.451045,-0.075527,0.007490,0.067922,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,9602.799805,1.635269,0.098685,135,0.737100,0.766911,0.369043,0.936961,1.456942,-0.072472,0.006601,0.066656,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,8526.953125,1.622283,0.095855,133,0.743139,0.791692,0.386403,0.945333,1.462583,-0.069429,0.005835,0.065831,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,8087.369629,1.610597,0.091761,142,0.748046,0.778258,0.400385,0.953325,1.467885,-0.066597,0.005405,0.062894,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,8021.158691,1.599850,0.090743,135,0.753815,0.765019,0.413597,0.959904,1.477131,-0.067623,0.006078,0.060203,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,7432.747559,1.590952,0.097256,142,0.757427,0.770893,0.432265,0.962858,1.490447,-0.073216,0.006590,0.063676,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
