iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,8480.924805,2.544158,0.438585,72,0.301073,0.438127,0.818210,0.000000,1.283000,-0.248620,0.083410,-0.351550,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,7969.986816,2.445573,0.391727,69,0.323664,0.438806,0.878112,0.102064,1.287057,-0.230664,0.068248,-0.309170,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,8652.929688,2.358782,0.338298,71,0.343344,0.429598,0.952910,0.194230,1.296013,-0.215519,0.054632,-0.254976,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,7320.117188,2.275777,0.290488,76,0.362107,0.446588,1.003000,0.284282,1.296408,-0.195256,0.044359,-0.210453,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,6824.674316,2.198216,0.250885,75,0.382596,0.457403,1.026189,0.367841,1.291992,-0.172092,0.037525,-0.178660,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,6425.064941,2.127934,0.214301,76,0.401467,0.462378,1.042138,0.443316,1.288689,-0.149673,0.032216,-0.149950,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,5921.614746,2.066206,0.190695,89,0.421200,0.470367,1.038618,0.505541,1.293885,-0.133446,0.028676,-0.133171,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,5722.981934,2.010267,0.172010,93,0.441419,0.502527,1.031728,0.559995,1.304821,-0.121684,0.024905,-0.118998,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,5297.851562,1.959353,0.154120,95,0.459643,0.539439,1.024242,0.609397,1.314713,-0.110100,0.021783,-0.105625,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4960.546875,1.912757,0.134329,97,0.479538,0.525087,1.019745,0.655468,1.321540,-0.097338,0.019637,-0.090466,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,4716.861816,1.872347,0.123509,102,0.498517,0.574928,1.002031,0.692782,1.330327,-0.087091,0.018118,-0.085682,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4380.468750,1.835949,0.110281,112,0.514261,0.603184,0.996201,0.726629,1.343491,-0.081037,0.015375,-0.073202,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,4153.060059,1.803661,0.102523,111,0.531353,0.609176,0.983895,0.755117,1.357739,-0.077019,0.013100,-0.066388,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,3956.966064,1.774150,0.096003,115,0.548498,0.676914,0.974893,0.780755,1.374196,-0.075895,0.011322,-0.057691,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,3676.822998,1.747394,0.088386,109,0.564458,0.685822,0.961172,0.804660,1.383104,-0.069721,0.009904,-0.053413,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,3434.570312,1.723693,0.084751,117,0.579662,0.699757,0.946009,0.824679,1.395037,-0.066980,0.009070,-0.051130,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,3327.929688,1.701899,0.077630,117,0.590446,0.660565,0.935319,0.844143,1.403222,-0.062002,0.008025,-0.046018,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,3283.268311,1.681290,0.069550,115,0.604842,0.693721,0.926480,0.862888,1.410210,-0.056453,0.007089,-0.039999,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,2835.286377,1.663054,0.064927,129,0.618267,0.794539,0.918028,0.878572,1.420628,-0.054749,0.006130,-0.034357,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,2696.549561,1.646498,0.060024,125,0.629536,0.788452,0.906376,0.893064,1.427111,-0.050397,0.005894,-0.032066,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,2587.825439,1.631090,0.055422,128,0.640912,0.774862,0.896151,0.906529,1.433860,-0.046804,0.005887,-0.029091,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2393.098877,1.617132,0.052348,126,0.654338,0.756437,0.888678,0.918351,1.442961,-0.045988,0.005250,-0.024452,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,2353.906250,1.604583,0.047935,128,0.662587,0.851113,0.878930,0.929356,1.448101,-0.042085,0.004759,-0.022449,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,2125.390625,1.593327,0.044872,135,0.670513,0.860664,0.869153,0.938949,1.454008,-0.039394,0.004145,-0.021082,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,2105.598877,1.582886,0.042041,131,0.677306,0.814838,0.862055,0.947812,1.460719,-0.037969,0.003492,-0.017710,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,2000.781250,1.573290,0.038956,126,0.685771,0.848760,0.854859,0.956080,1.466176,-0.035845,0.003157,-0.014924,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1913.151001,1.564691,0.038739,132,0.696878,0.816234,0.842765,0.962989,1.472060,-0.034588,0.003565,-0.017079,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1802.864624,1.556726,0.036063,129,0.704265,0.866111,0.833352,0.969937,1.475494,-0.031421,0.003317,-0.017385,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1775.130249,1.549561,0.035120,127,0.710789,0.822448,0.824649,0.975855,1.480650,-0.030290,0.003269,-0.017471,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,1724.479126,1.543100,0.032405,128,0.716558,0.892663,0.818404,0.981458,1.484465,-0.028235,0.003011,-0.015615,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1624.544312,1.536807,0.031685,140,0.721303,0.887161,0.811575,0.986622,1.489864,-0.027950,0.002722,-0.014674,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,1503.580688,1.530452,0.028192,135,0.726047,0.885982,0.805724,0.992471,1.492061,-0.024838,0.002534,-0.013093,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,1485.937500,1.525404,0.029585,137,0.734890,0.878200,0.796367,0.996373,1.497384,-0.025136,0.002561,-0.015392,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,1437.760376,1.520339,0.029416,145,0.741899,0.932200,0.791953,1.000407,1.503238,-0.026201,0.002256,-0.013178,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,1386.848999,1.516283,0.027104,141,0.743139,0.895553,0.789356,1.003892,1.506635,-0.025298,0.001813,-0.009558,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,1408.854126,1.512366,0.028653,142,0.750957,0.892507,0.783190,1.006763,1.512531,-0.026921,0.001256,-0.009731,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,1303.971313,1.508159,0.026804,141,0.748315,0.863639,0.780487,1.010488,1.515547,-0.025945,0.001128,-0.006637,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,1292.513062,1.504177,0.024501,141,0.756780,0.894315,0.776410,1.014167,1.517296,-0.023934,0.000912,-0.005164,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,1250.000000,1.500753,0.023987,142,0.759422,0.924015,0.771879,1.017076,1.520398,-0.023547,0.000693,-0.004524,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,1256.966187,1.497524,0.023179,147,0.769882,0.904386,0.769484,1.019868,1.523269,-0.023096,0.000424,-0.001919,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,1222.656250,1.494896,0.021735,145,0.766701,0.933414,0.763991,1.022225,1.524838,-0.021565,0.000685,-0.002623,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,1274.479126,1.492733,0.019340,149,0.767456,0.877153,0.755504,1.024422,1.524409,-0.018151,0.000638,-0.006646,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,1156.510376,1.490363,0.019533,148,0.773279,0.910752,0.754886,1.026206,1.528440,-0.019304,0.000597,-0.002921,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,1156.510376,1.488353,0.019610,144,0.775058,0.915648,0.749986,1.027846,1.531004,-0.019244,0.000838,-0.003677,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,1192.187500,1.486011,0.018714,137,0.774950,0.899612,0.747599,1.029933,1.532916,-0.018579,0.000639,-0.002145,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,1179.036499,1.483453,0.016160,136,0.784386,0.901369,0.743897,1.032529,1.532920,-0.016020,0.000823,-0.001949,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,1123.828125,1.481884,0.018169,149,0.784008,0.918056,0.737322,1.033620,1.536575,-0.017438,0.001153,-0.004967,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,1146.940063,1.480878,0.020385,136,0.784655,0.913466,0.730284,1.034287,1.539536,-0.018354,0.001700,-0.008706,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
