iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,7284.244629,2.586013,0.407416,64,0.268130,0.470120,0.409770,0.000000,1.182810,-0.295450,-0.053350,-0.275410,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,7156.705566,2.479736,0.375392,70,0.293093,0.465707,0.493989,0.092294,1.214743,-0.286341,-0.054364,-0.236585,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,6930.924316,2.386753,0.342335,82,0.316062,0.452166,0.562275,0.178011,1.230656,-0.270623,-0.056676,-0.201851,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,6668.814941,2.301723,0.304636,78,0.337090,0.464372,0.628480,0.259595,1.236439,-0.249805,-0.057604,-0.164567,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,6411.132812,2.225263,0.276665,74,0.360490,0.477164,0.679367,0.332064,1.253152,-0.236085,-0.056789,-0.132599,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,6087.825684,2.155946,0.249984,89,0.381409,0.471549,0.703494,0.401664,1.257123,-0.215568,-0.054544,-0.114224,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,5852.018066,2.093245,0.223230,83,0.401467,0.476931,0.727809,0.464930,1.260439,-0.195198,-0.052988,-0.094454,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,5522.460938,2.036528,0.199340,98,0.422225,0.479604,0.744434,0.522200,1.264488,-0.175977,-0.051028,-0.078515,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,5208.854004,1.984966,0.182338,91,0.441581,0.469384,0.742562,0.573498,1.271853,-0.159563,-0.047718,-0.074227,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,5002.278809,1.938771,0.163619,94,0.459751,0.516275,0.748863,0.619540,1.278090,-0.143297,-0.045441,-0.064594,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,4825.390625,1.896684,0.148903,98,0.477490,0.513261,0.750658,0.660458,1.287946,-0.130419,-0.042664,-0.057817,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4635.937500,1.858535,0.135440,112,0.495606,0.511043,0.749616,0.697571,1.296787,-0.117860,-0.040185,-0.053273,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,4483.658691,1.823930,0.120824,109,0.514692,0.520689,0.749890,0.731676,1.303066,-0.104184,-0.038140,-0.047848,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
