iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,8976.692383,2.809330,0.255640,41,0.148649,0.403210,-0.527450,0.000000,1.647740,0.113020,0.199890,-0.112350,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,6543.424316,2.631078,0.229110,49,0.174422,0.416403,-0.392642,0.132935,1.631916,0.106372,0.174737,-0.103166,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,5978.125000,2.484200,0.206673,50,0.201704,0.430566,-0.278775,0.242263,1.625513,0.098940,0.155270,-0.093891,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,7125.716309,2.364330,0.189723,57,0.227584,0.444427,-0.188424,0.334179,1.613491,0.096276,0.137745,-0.088046,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,6478.060059,2.261400,0.172499,54,0.253680,0.451641,-0.110330,0.412513,1.622882,0.084234,0.125882,-0.082550,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,6198.177246,2.174427,0.159550,69,0.279021,0.456090,-0.041355,0.479306,1.613306,0.083020,0.112745,-0.076501,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,5898.177246,2.098988,0.147924,64,0.304739,0.464990,0.017606,0.537903,1.610258,0.079229,0.102108,-0.071959,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,5420.638184,2.032791,0.140910,69,0.330350,0.476231,0.063616,0.592235,1.603207,0.078502,0.092277,-0.071957,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,4920.312500,1.977203,0.131819,69,0.354343,0.478243,0.107467,0.635869,1.603373,0.073797,0.084329,-0.069418,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4855.664062,1.928228,0.124252,79,0.375479,0.490062,0.144372,0.674963,1.606763,0.067610,0.078427,-0.068679,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,4350.520996,1.885651,0.116982,80,0.397531,0.509903,0.183454,0.707394,1.604163,0.065767,0.072936,-0.063560,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4916.731934,1.847514,0.109189,87,0.420014,0.503270,0.219014,0.736533,1.603218,0.062785,0.067335,-0.058704,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,3821.614502,1.813629,0.105584,93,0.440125,0.492059,0.247297,0.764081,1.597935,0.063406,0.062169,-0.057121,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,4146.614746,1.783280,0.099965,95,0.460560,0.525839,0.273669,0.788163,1.598975,0.059587,0.058276,-0.055193,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,3237.890625,1.756676,0.092983,96,0.479107,0.544908,0.299972,0.808362,1.602540,0.053940,0.055574,-0.051458,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,3662.500000,1.731260,0.089443,92,0.495768,0.524358,0.320070,0.829414,1.603153,0.050622,0.052717,-0.051560,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,3374.348877,1.708981,0.086684,99,0.513075,0.574373,0.339191,0.847797,1.601417,0.049191,0.049883,-0.051049,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,2614.843750,1.687919,0.086263,109,0.532000,0.559404,0.356170,0.866004,1.594993,0.051742,0.046113,-0.051358,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,2868.815186,1.669219,0.081910,123,0.546180,0.581962,0.371568,0.881417,1.597460,0.046805,0.042782,-0.051849,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,2739.648438,1.652961,0.078531,108,0.560792,0.602918,0.385797,0.894619,1.600375,0.041845,0.041190,-0.052149,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,2613.281250,1.638833,0.075207,113,0.573947,0.616715,0.403594,0.905612,1.596037,0.043011,0.038408,-0.048280,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2393.945312,1.625346,0.071225,122,0.587642,0.612227,0.419136,0.916212,1.595414,0.041032,0.036110,-0.045668,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,2213.541748,1.612020,0.069392,119,0.601391,0.632830,0.430797,0.927548,1.594718,0.039319,0.033990,-0.045977,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,2099.674561,1.600490,0.063561,119,0.614978,0.666719,0.445719,0.936063,1.598075,0.034072,0.032970,-0.042334,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1713.997437,1.590429,0.056575,124,0.625438,0.654366,0.461092,0.943114,1.601333,0.028658,0.031115,-0.037567,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1893.619751,1.581167,0.052109,119,0.636168,0.685599,0.473123,0.950251,1.602667,0.025025,0.029126,-0.035224,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1803.515625,1.572008,0.048789,126,0.647814,0.720491,0.484319,0.957693,1.601969,0.023334,0.027155,-0.033144,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1746.093750,1.564048,0.044034,126,0.657303,0.744195,0.496624,0.963634,1.602944,0.020174,0.025820,-0.029416,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1632.031250,1.556217,0.042338,115,0.665768,0.754834,0.504266,0.970309,1.603469,0.017594,0.024606,-0.029623,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,1601.953125,1.549102,0.039019,130,0.673694,0.761709,0.513877,0.975995,1.603806,0.015117,0.023178,-0.027509,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1488.085938,1.542472,0.037482,139,0.684639,0.759942,0.522143,0.981703,1.601424,0.015343,0.021867,-0.026293,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,1284.830688,1.536259,0.039066,129,0.690732,0.742886,0.525131,0.987642,1.600666,0.014133,0.021101,-0.029684,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,1460.677124,1.530698,0.038191,129,0.698280,0.800070,0.531580,0.992519,1.598903,0.013866,0.019921,-0.029486,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,1462.825562,1.525480,0.036526,128,0.706044,0.796015,0.537899,0.996914,1.598888,0.011946,0.018724,-0.028997,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,1390.494751,1.520746,0.034000,139,0.712298,0.804586,0.545682,1.000730,1.597968,0.010963,0.017999,-0.026681,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,1325.781250,1.516397,0.030888,142,0.718391,0.839462,0.553380,1.004085,1.598209,0.008930,0.017111,-0.024115,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,1282.747437,1.512094,0.030298,132,0.723837,0.842156,0.558911,1.008004,1.595523,0.009888,0.016484,-0.023418,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,1239.192749,1.508615,0.027220,141,0.730576,0.835510,0.566503,1.010690,1.594422,0.009276,0.015430,-0.020415,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,1284.635376,1.504970,0.027334,136,0.734135,0.862710,0.569864,1.014067,1.593510,0.008617,0.014694,-0.021377,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,1215.299438,1.501456,0.024625,136,0.740281,0.877145,0.576553,1.016905,1.592790,0.007792,0.013845,-0.018815,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,1192.643188,1.498718,0.022396,140,0.746212,0.858492,0.581906,1.018927,1.594040,0.005078,0.013296,-0.017292,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,1186.523438,1.495767,0.021765,133,0.748315,0.886588,0.586128,1.021770,1.590944,0.006681,0.012110,-0.016806,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,1146.354126,1.493105,0.019877,136,0.753976,0.892165,0.591233,1.024031,1.589775,0.006375,0.011213,-0.015124,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,1123.958374,1.490869,0.020000,138,0.754192,0.878180,0.593987,1.026141,1.588476,0.006325,0.010799,-0.015600,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,1158.593750,1.488651,0.017368,139,0.761471,0.874712,0.599349,1.027785,1.588847,0.004724,0.010161,-0.013270,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,1125.846313,1.486122,0.019906,151,0.759638,0.882415,0.599446,1.030630,1.586154,0.006272,0.009859,-0.016115,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,1069.986938,1.483811,0.020391,139,0.765838,0.893254,0.601547,1.032872,1.585096,0.006206,0.009607,-0.016881,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,1121.549438,1.482374,0.016417,145,0.769019,0.908485,0.607298,1.033435,1.587959,0.002103,0.008912,-0.013627,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,1087.890625,1.480602,0.015383,144,0.776460,0.889600,0.610479,1.034972,1.587491,0.001431,0.008240,-0.012911,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,1053.059937,1.479226,0.011851,140,0.773063,0.893991,0.616732,1.035722,1.588012,-0.000178,0.007789,-0.008931,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,1110.026001,1.477778,0.009088,149,0.776460,0.898283,0.622132,1.036755,1.587545,-0.000825,0.007074,-0.005646,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,1116.341187,1.476248,0.010006,147,0.777646,0.915595,0.622622,1.038399,1.586279,-0.000542,0.006853,-0.007271,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,1056.315063,1.474924,0.010429,143,0.781528,0.912240,0.623678,1.039862,1.584347,0.000465,0.006411,-0.008213,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,1062.500000,1.474056,0.010692,150,0.786381,0.918935,0.625202,1.040560,1.584768,-0.000888,0.006364,-0.008546,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,1092.773438,1.473232,0.013512,147,0.782930,0.913199,0.623877,1.041486,1.584954,-0.001947,0.006444,-0.011716,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,1109.830688,1.472170,0.012530,143,0.785248,0.914668,0.626389,1.042456,1.583954,-0.001775,0.005809,-0.010960,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,1030.208374,1.471480,0.011216,141,0.786812,0.931510,0.629315,1.043005,1.583102,-0.001779,0.005537,-0.009590,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,1078.710938,1.470380,0.010713,144,0.789238,0.915709,0.631710,1.043828,1.583898,-0.003335,0.005373,-0.008648,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,1043.489624,1.469519,0.013400,148,0.791772,0.930924,0.630140,1.044926,1.583025,-0.003176,0.005523,-0.011788,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,1029.947876,1.468716,0.011125,138,0.795816,0.833595,0.633457,1.045737,1.580696,-0.001581,0.004764,-0.009928,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,997.591125,1.468097,0.009149,141,0.795762,0.869616,0.637310,1.045972,1.581444,-0.003035,0.004599,-0.007303,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,1030.468750,1.467300,0.008891,142,0.790856,0.930007,0.638172,1.046967,1.579247,-0.001476,0.004179,-0.007707,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
62,1063.476562,1.466593,0.008934,135,0.792635,0.875764,0.639576,1.047469,1.580126,-0.002992,0.003835,-0.007494,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
63,990.885437,1.465864,0.009697,138,0.796840,0.912888,0.639446,1.048460,1.578053,-0.001499,0.003706,-0.008835,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
