iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,50.976562,2.526907,0.425191,46,0.194533,0.411860,0.392230,0.000000,1.835210,-0.220500,-0.114430,-0.345070,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,74.153648,2.401423,0.405585,56,0.221168,0.427910,0.436822,0.119946,1.813985,-0.211042,-0.107211,-0.329342,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,61.588543,2.297832,0.385092,61,0.246509,0.430033,0.473026,0.219286,1.790747,-0.199033,-0.099689,-0.314235,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,62.500000,2.216302,0.353455,60,0.270772,0.444283,0.528302,0.294909,1.770417,-0.187430,-0.093844,-0.284594,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,97.330727,2.140948,0.333055,65,0.296382,0.423233,0.556522,0.367813,1.752268,-0.176546,-0.089202,-0.267956,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,73.111977,2.078006,0.306053,69,0.318111,0.460803,0.587708,0.428484,1.725713,-0.159472,-0.083899,-0.247383,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,116.601562,2.023855,0.275839,74,0.341079,0.453460,0.623013,0.480682,1.702913,-0.143604,-0.078283,-0.222120,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,106.315102,1.973392,0.253862,79,0.363455,0.447894,0.642865,0.530641,1.683491,-0.129376,-0.073956,-0.205519,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,131.575516,1.928312,0.231271,77,0.384806,0.444877,0.662220,0.575521,1.665969,-0.115644,-0.068626,-0.188158,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,135.221359,1.889612,0.207989,85,0.404971,0.458871,0.683466,0.614151,1.651114,-0.103459,-0.064654,-0.168450,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,126.367188,1.853816,0.187440,97,0.424327,0.472519,0.697414,0.650587,1.633633,-0.088866,-0.061716,-0.153061,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,157.682297,1.820558,0.175181,89,0.444600,0.458570,0.702067,0.684314,1.625823,-0.080996,-0.057919,-0.144130,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,160.156250,1.790222,0.160349,100,0.463040,0.476520,0.707696,0.715513,1.613208,-0.069319,-0.053685,-0.134255,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,197.526047,1.763900,0.141662,101,0.480293,0.470592,0.724629,0.741890,1.609463,-0.064332,-0.050994,-0.115452,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,206.510422,1.738420,0.131677,103,0.498086,0.482480,0.726089,0.767881,1.604065,-0.057940,-0.047490,-0.108289,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,216.015625,1.715874,0.117899,105,0.515986,0.531543,0.733815,0.790891,1.598649,-0.051593,-0.044643,-0.096152,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,217.513016,1.695179,0.104364,109,0.531730,0.485155,0.743280,0.811828,1.596181,-0.047700,-0.042425,-0.082564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,217.903641,1.676257,0.087743,114,0.546935,0.527072,0.758212,0.831035,1.594025,-0.044088,-0.040385,-0.064219,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,253.710938,1.658608,0.081415,116,0.561385,0.556439,0.757608,0.848874,1.592826,-0.041426,-0.038166,-0.058785,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,283.268219,1.642764,0.073583,114,0.576266,0.610697,0.761207,0.864737,1.593595,-0.040514,-0.035894,-0.049846,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,272.070312,1.627861,0.067930,114,0.592387,0.553190,0.759740,0.879900,1.591532,-0.037361,-0.033985,-0.045427,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,323.046875,1.614438,0.063795,123,0.604195,0.574990,0.755362,0.893614,1.589049,-0.033902,-0.031794,-0.043698,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,341.210938,1.602347,0.060858,117,0.615463,0.601925,0.750403,0.905930,1.587351,-0.031261,-0.029940,-0.042779,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,350.781250,1.591210,0.058988,127,0.627757,0.590993,0.744292,0.917320,1.585563,-0.028536,-0.028232,-0.043223,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,354.882812,1.580785,0.053327,126,0.640858,0.590360,0.745119,0.927894,1.584657,-0.026763,-0.026685,-0.037623,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,400.260406,1.571058,0.051136,127,0.649809,0.637295,0.741410,0.937666,1.584885,-0.026042,-0.024949,-0.036253,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,415.559906,1.562726,0.047491,130,0.658112,0.606141,0.742521,0.945810,1.587059,-0.027224,-0.023913,-0.030699,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,427.278656,1.554881,0.042180,132,0.671214,0.640340,0.743769,0.953832,1.585736,-0.025295,-0.022553,-0.025114,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,461.197906,1.547614,0.036670,128,0.680056,0.681987,0.747925,0.961150,1.585542,-0.024508,-0.021413,-0.016896,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,463.671875,1.540913,0.034074,133,0.685448,0.694353,0.744768,0.968088,1.583775,-0.022241,-0.020453,-0.015751,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,500.000000,1.534683,0.032131,139,0.695692,0.670109,0.740695,0.974535,1.582306,-0.020282,-0.019381,-0.015667,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,500.000000,1.528919,0.029945,135,0.702216,0.718756,0.739287,0.980393,1.581848,-0.019332,-0.018620,-0.013276,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,532.226562,1.523623,0.029229,135,0.709926,0.663143,0.733561,0.985893,1.580771,-0.017849,-0.017509,-0.015140,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,551.432312,1.518586,0.027612,141,0.718661,0.743980,0.728470,0.991307,1.578284,-0.015003,-0.016201,-0.016579,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,557.161438,1.513938,0.027006,128,0.722758,0.659619,0.723326,0.996280,1.576433,-0.012752,-0.015257,-0.018274,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,585.221375,1.509719,0.024276,140,0.728689,0.705912,0.723237,1.000548,1.576273,-0.012193,-0.014417,-0.015257,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,585.156250,1.505742,0.023293,144,0.734135,0.800540,0.720404,1.004641,1.575976,-0.011568,-0.013595,-0.014963,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,589.388000,1.502838,0.020598,143,0.738987,0.760758,0.718264,1.008022,1.572468,-0.007870,-0.012703,-0.014177,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,591.992188,1.499656,0.019945,148,0.741414,0.805747,0.716693,1.011094,1.573875,-0.008991,-0.012196,-0.012969,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,657.161438,1.496291,0.018830,147,0.745404,0.754046,0.713655,1.014791,1.571893,-0.006737,-0.011461,-0.013335,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,653.515625,1.493659,0.017179,139,0.750634,0.828472,0.714034,1.017235,1.573556,-0.008205,-0.010938,-0.010401,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,663.802063,1.491183,0.016014,136,0.753222,0.826588,0.712267,1.019844,1.572968,-0.007494,-0.010274,-0.009733,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,670.572937,1.488801,0.016424,137,0.757535,0.794557,0.708395,1.022312,1.573268,-0.007659,-0.009259,-0.011197,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,687.955750,1.486582,0.016070,145,0.761902,0.838127,0.708068,1.024286,1.575537,-0.009838,-0.008720,-0.009243,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,705.598938,1.484962,0.016733,143,0.765676,0.784183,0.703631,1.026174,1.574499,-0.008745,-0.008260,-0.011631,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,761.458313,1.482953,0.015343,147,0.765569,0.855415,0.703824,1.028167,1.574715,-0.008887,-0.008161,-0.009477,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,723.372375,1.481175,0.015910,142,0.768857,0.846178,0.701667,1.029926,1.575570,-0.009766,-0.007941,-0.009731,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,777.473938,1.479706,0.016507,149,0.772632,0.772290,0.699133,1.031414,1.576220,-0.010440,-0.007350,-0.010462,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,807.552063,1.477884,0.015266,137,0.775220,0.848415,0.697831,1.033432,1.575081,-0.009256,-0.006956,-0.009949,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,800.260437,1.476597,0.013943,136,0.778293,0.836446,0.698287,1.034659,1.575535,-0.009743,-0.006327,-0.007710,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,797.135437,1.475150,0.013184,142,0.777322,0.883116,0.698133,1.036094,1.575770,-0.009982,-0.005985,-0.006193,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,806.640625,1.473896,0.012621,147,0.781959,0.844052,0.696523,1.037484,1.575189,-0.009442,-0.005593,-0.006233,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,786.718750,1.472711,0.011765,147,0.780558,0.788963,0.697007,1.038641,1.575355,-0.009655,-0.005230,-0.004224,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,843.294250,1.471607,0.012483,146,0.785841,0.808524,0.695935,1.039669,1.576400,-0.010755,-0.005037,-0.003846,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,855.989563,1.470564,0.014410,146,0.789885,0.859495,0.697681,1.040348,1.579012,-0.013566,-0.004817,-0.000644,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,855.143250,1.469637,0.014832,142,0.788322,0.853926,0.697413,1.041237,1.579473,-0.014079,-0.004639,0.000495,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,869.010437,1.468805,0.014686,143,0.790316,0.830880,0.695126,1.042163,1.579455,-0.014059,-0.004212,-0.000531,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,855.143250,1.468173,0.015059,148,0.792635,0.888420,0.694819,1.042775,1.579757,-0.014477,-0.004131,0.000364,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,883.854187,1.467499,0.014130,144,0.794199,0.886627,0.693003,1.043640,1.578764,-0.013583,-0.003881,-0.000312,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,877.473938,1.467005,0.014642,146,0.791880,0.861754,0.687137,1.044440,1.578253,-0.013207,-0.003572,-0.005215,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,920.182312,1.466396,0.016347,146,0.794252,0.828670,0.687568,1.044773,1.580494,-0.015589,-0.003221,-0.003720,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,942.057312,1.465657,0.016918,146,0.796948,0.870423,0.684165,1.045683,1.580360,-0.015512,-0.002711,-0.006185,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
62,932.552063,1.465404,0.019050,143,0.796894,0.866849,0.676120,1.046606,1.577962,-0.013100,-0.002613,-0.013582,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
