iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,2429.882812,2.554694,0.382832,53,0.189572,0.460042,0.927330,0.000000,1.255010,0.094440,0.028680,0.369890,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,2388.541748,2.419297,0.376667,53,0.217933,0.482408,0.920061,0.126407,1.313955,0.081973,0.022315,0.366961,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,3076.106689,2.303320,0.379359,54,0.245215,0.473057,0.927248,0.238544,1.350394,0.076818,0.016639,0.371127,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,2915.169189,2.211213,0.368589,61,0.271472,0.454076,0.910143,0.325158,1.384106,0.069559,0.014062,0.361693,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,2948.567627,2.135468,0.361544,66,0.295843,0.481775,0.902210,0.397381,1.409336,0.064382,0.010374,0.355615,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,2815.169189,2.066900,0.351536,69,0.319782,0.494295,0.886716,0.464229,1.419818,0.066729,0.008916,0.345029,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,2630.664062,2.009445,0.339207,82,0.344422,0.529337,0.872156,0.518384,1.439926,0.061412,0.006512,0.333537,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,1871.093750,1.959683,0.320982,81,0.368739,0.513339,0.849778,0.564820,1.457629,0.056244,0.005105,0.315975,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1088.867188,1.916110,0.312057,86,0.390036,0.546054,0.840987,0.607433,1.464713,0.056838,0.005352,0.306790,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1797.265625,1.879597,0.298384,90,0.410632,0.519381,0.828622,0.641029,1.483676,0.048089,0.005501,0.294432,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1719.661499,1.846434,0.283738,93,0.431498,0.525974,0.816235,0.670782,1.507322,0.034737,0.004677,0.281565,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1548.697876,1.815128,0.278821,94,0.450531,0.526538,0.814437,0.701806,1.511178,0.035397,0.004225,0.276533,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
