iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,45061.589844,2.872758,0.321613,56,0.276109,0.322285,-0.056620,0.000000,0.587200,-0.240280,-0.143240,0.158690,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,41188.671875,2.737865,0.301436,69,0.307004,0.300002,-0.030675,0.110472,0.665285,-0.230626,-0.127312,0.146517,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,39068.097656,2.618698,0.284444,70,0.338276,0.300398,-0.001175,0.205336,0.736179,-0.222185,-0.113344,0.136732,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,38654.363281,2.511231,0.268090,76,0.370033,0.321650,0.022051,0.290932,0.803221,-0.215537,-0.099881,0.124257,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,34667.382812,2.418485,0.257146,79,0.404540,0.336348,0.058677,0.360185,0.859869,-0.208474,-0.090719,0.120137,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,32967.773438,2.335410,0.249499,89,0.438939,0.348404,0.094404,0.419690,0.915347,-0.204358,-0.082267,0.117132,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,30433.529297,2.261054,0.239243,94,0.472421,0.357621,0.123977,0.475327,0.961863,-0.197956,-0.074822,0.111590,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,28565.298828,2.194014,0.233310,93,0.506066,0.382473,0.154837,0.522379,1.009395,-0.195223,-0.067401,0.108530,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,27864.583984,2.132155,0.223433,92,0.537445,0.415505,0.180807,0.569169,1.047151,-0.188477,-0.061726,0.102903,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,24472.851562,2.077288,0.216062,104,0.564242,0.447109,0.209614,0.608860,1.081647,-0.182434,-0.057379,0.100539,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,23388.541016,2.028026,0.211613,110,0.587642,0.470669,0.237160,0.642654,1.117426,-0.179446,-0.052507,0.099106,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,22343.099609,1.983379,0.206407,115,0.611150,0.464931,0.261241,0.673850,1.149930,-0.176136,-0.047670,0.096476,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,21761.068359,1.941562,0.197943,119,0.627864,0.429003,0.280631,0.705384,1.176668,-0.170289,-0.043527,0.091043,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,18428.320312,1.904178,0.194605,111,0.643986,0.438347,0.301634,0.730862,1.206850,-0.168901,-0.039396,0.088270,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,18937.826172,1.869598,0.187829,119,0.655901,0.450521,0.325067,0.756024,1.227148,-0.161707,-0.037192,0.088018,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,17695.248047,1.839544,0.184452,120,0.667008,0.459792,0.346780,0.776266,1.249926,-0.158373,-0.035016,0.087831,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,16416.537109,1.810280,0.179806,129,0.677899,0.455713,0.367983,0.796997,1.269419,-0.153248,-0.033273,0.087968,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,15525.781250,1.783691,0.175449,130,0.692187,0.476512,0.384872,0.815876,1.289607,-0.149955,-0.030791,0.085721,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,14702.083008,1.760692,0.168175,127,0.697363,0.488713,0.399081,0.833134,1.304524,-0.143824,-0.028580,0.082344,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,13665.625000,1.738025,0.162985,121,0.709117,0.488863,0.413719,0.849697,1.320877,-0.139598,-0.026401,0.079873,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,12827.799805,1.717588,0.160540,133,0.713970,0.495590,0.429986,0.863545,1.338036,-0.137182,-0.024750,0.079635,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,11864.518555,1.698394,0.151784,135,0.721950,0.523303,0.439081,0.879050,1.349512,-0.130620,-0.022862,0.073851,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,11235.090820,1.681653,0.148473,136,0.728635,0.532076,0.454261,0.890552,1.362481,-0.126784,-0.022352,0.073962,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,10627.148438,1.665738,0.143206,140,0.734512,0.524389,0.466109,0.902323,1.373813,-0.121995,-0.021197,0.071942,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,10055.078125,1.650234,0.136136,138,0.740605,0.528312,0.475071,0.914613,1.383618,-0.116375,-0.019451,0.067908,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,9368.098633,1.636694,0.129684,138,0.744757,0.532358,0.483961,0.925129,1.392548,-0.111030,-0.018655,0.064361,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,8769.531250,1.624129,0.127642,135,0.750687,0.569896,0.492099,0.933675,1.406623,-0.110894,-0.016540,0.061004,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,8482.487305,1.612642,0.122501,136,0.754516,0.565041,0.501992,0.942292,1.414359,-0.105914,-0.015720,0.059510,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,7720.442871,1.602371,0.116909,133,0.757481,0.571639,0.508041,0.950190,1.422682,-0.102066,-0.014180,0.055219,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,7545.833496,1.592030,0.111353,149,0.764436,0.618337,0.513334,0.958372,1.430734,-0.098390,-0.013260,0.050428,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,6978.906250,1.582464,0.105923,135,0.764706,0.596327,0.520916,0.965821,1.436941,-0.093496,-0.012212,0.048260,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,6724.283691,1.573337,0.101875,141,0.772039,0.632133,0.532462,0.972585,1.441665,-0.087782,-0.012162,0.050250,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,6202.864746,1.565969,0.098017,139,0.773171,0.660311,0.539227,0.977898,1.448273,-0.084527,-0.011522,0.048268,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,5885.546875,1.558745,0.095346,146,0.777538,0.713312,0.546385,0.982933,1.455491,-0.082184,-0.010983,0.047076,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,5622.070312,1.551803,0.090240,137,0.778347,0.726689,0.552349,0.988448,1.459765,-0.077478,-0.010359,0.045091,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,5295.833496,1.546013,0.086098,145,0.781474,0.635230,0.556628,0.992771,1.465352,-0.074615,-0.009490,0.041897,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,5200.260254,1.539845,0.082465,147,0.782445,0.756852,0.560820,0.997471,1.471181,-0.072166,-0.008572,0.038974,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,4905.468750,1.534207,0.078644,145,0.785087,0.701810,0.566518,1.001799,1.475189,-0.068496,-0.008554,0.037684,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,4501.888184,1.529200,0.072779,148,0.786434,0.707405,0.567835,1.006147,1.478574,-0.064621,-0.008017,0.032504,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,4416.471191,1.524290,0.068524,147,0.789292,0.736497,0.572886,1.010037,1.481484,-0.060498,-0.008099,0.031145,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,4126.497559,1.520401,0.067065,139,0.788106,0.799864,0.578175,1.012455,1.486741,-0.059224,-0.007644,0.030525,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,4000.455811,1.516106,0.063932,140,0.793552,0.707835,0.580426,1.015766,1.491406,-0.057475,-0.006901,0.027136,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,3836.848877,1.512260,0.059857,151,0.794630,0.798416,0.583206,1.018889,1.494223,-0.054193,-0.006851,0.024476,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,3721.289062,1.508234,0.051428,134,0.792581,0.824447,0.581810,1.023240,1.493755,-0.047842,-0.006159,0.017835,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,3482.617188,1.504891,0.047945,141,0.793066,0.751489,0.584816,1.025886,1.496234,-0.044845,-0.006154,0.015805,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,3385.351562,1.502096,0.046293,147,0.796679,0.812254,0.588066,1.027701,1.500188,-0.043640,-0.005491,0.014435,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,3245.182373,1.499458,0.044542,145,0.797541,0.808503,0.592127,1.029412,1.503378,-0.041938,-0.005489,0.013968,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,3141.210938,1.497227,0.045426,145,0.800830,0.811101,0.598620,1.030224,1.508067,-0.042086,-0.005385,0.016227,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,3037.109375,1.495230,0.046347,144,0.803257,0.819212,0.603168,1.030944,1.513297,-0.042903,-0.004929,0.016823,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,2908.723877,1.493388,0.043286,140,0.803580,0.823829,0.605488,1.032337,1.514862,-0.040259,-0.004335,0.015299,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,2871.158936,1.491237,0.041837,140,0.805305,0.831452,0.609325,1.033764,1.517298,-0.038628,-0.004064,0.015547,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
