iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,22577.343750,3.004359,0.260091,42,0.164986,0.338498,-0.656640,0.000000,0.856950,0.051560,-0.252500,-0.035110,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,21858.724609,2.810267,0.231520,53,0.190166,0.363762,-0.543850,0.132532,0.963459,0.050925,-0.223490,-0.032564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,20871.419922,2.647664,0.207413,58,0.215938,0.380281,-0.447203,0.244997,1.048723,0.050426,-0.198621,-0.032051,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,19393.228516,2.510887,0.184454,64,0.241602,0.383548,-0.364418,0.337447,1.128717,0.044208,-0.176008,-0.033017,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,18197.396484,2.396939,0.166428,66,0.267375,0.400284,-0.284354,0.412402,1.186649,0.041912,-0.158185,-0.030316,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,16544.466797,2.296849,0.151856,61,0.291314,0.406736,-0.217381,0.482201,1.232141,0.041596,-0.142672,-0.031222,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,15584.700195,2.212790,0.138443,64,0.316493,0.406877,-0.150286,0.536286,1.270674,0.040503,-0.129576,-0.027132,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,14633.854492,2.139546,0.125207,76,0.339947,0.427660,-0.097319,0.585476,1.309200,0.036087,-0.116572,-0.028029,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,13274.934570,2.074354,0.116035,74,0.362538,0.441925,-0.047924,0.630613,1.335686,0.036023,-0.106535,-0.028578,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,12571.745117,2.016801,0.106157,83,0.385561,0.451689,-0.000543,0.668717,1.361963,0.033685,-0.096913,-0.027251,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,11897.395508,1.966252,0.096235,89,0.408476,0.471421,0.042697,0.701507,1.387657,0.029486,-0.087875,-0.025879,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,10937.109375,1.920539,0.087950,97,0.429288,0.481676,0.081103,0.732291,1.409040,0.026304,-0.079872,-0.025765,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,10037.890625,1.880856,0.080895,97,0.449291,0.493999,0.119313,0.757976,1.425649,0.024445,-0.073519,-0.023268,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,9555.859375,1.843940,0.075996,97,0.468971,0.501154,0.151904,0.783792,1.438510,0.024126,-0.068170,-0.023371,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,8642.968750,1.811253,0.071879,101,0.487087,0.519055,0.181291,0.806815,1.449446,0.023982,-0.063393,-0.023932,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,8103.906250,1.781233,0.067738,97,0.505527,0.516387,0.209211,0.827763,1.460242,0.023008,-0.059015,-0.024006,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,7602.018066,1.754816,0.063147,107,0.522672,0.558844,0.236094,0.845457,1.471135,0.021029,-0.054921,-0.023000,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,7015.299316,1.731077,0.058877,114,0.537445,0.553475,0.261709,0.861345,1.479798,0.020106,-0.051038,-0.021387,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,6498.177246,1.710046,0.053847,114,0.553243,0.564819,0.285037,0.875101,1.489673,0.017527,-0.046770,-0.020122,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,6204.036621,1.690956,0.050038,122,0.567801,0.585339,0.307915,0.887643,1.496627,0.016572,-0.043645,-0.018007,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,5907.161621,1.672201,0.048855,117,0.582574,0.634315,0.327449,0.901501,1.499983,0.018096,-0.041597,-0.018140,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,5475.455566,1.655203,0.046900,117,0.596323,0.629040,0.345453,0.913874,1.504557,0.018322,-0.039068,-0.018374,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,5054.296875,1.640029,0.044004,115,0.608454,0.601264,0.362380,0.924558,1.510355,0.017069,-0.036184,-0.018322,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,4740.234375,1.626142,0.041466,123,0.621394,0.633711,0.378815,0.934307,1.515128,0.016255,-0.033782,-0.017720,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,4441.796875,1.613840,0.039136,122,0.632232,0.665233,0.396030,0.942637,1.518040,0.016606,-0.031867,-0.015504,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,4169.531250,1.602561,0.037221,130,0.644093,0.657635,0.408910,0.950842,1.522027,0.015873,-0.029461,-0.016294,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,4063.541748,1.591583,0.036531,126,0.653475,0.661431,0.421039,0.959257,1.524100,0.016604,-0.027623,-0.017198,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,3839.192627,1.581758,0.036164,126,0.661832,0.681092,0.433209,0.966721,1.524929,0.018128,-0.025994,-0.017423,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,3632.747314,1.572684,0.033377,125,0.670243,0.693431,0.445873,0.972895,1.529108,0.016427,-0.024029,-0.016334,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,3359.049561,1.564304,0.033827,126,0.678600,0.716304,0.454979,0.979609,1.529952,0.017588,-0.022559,-0.018055,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,3269.726562,1.556572,0.031924,122,0.686472,0.745166,0.466140,0.985033,1.532712,0.016758,-0.021039,-0.017195,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,3063.216064,1.549687,0.028646,127,0.695746,0.688732,0.477151,0.989460,1.537041,0.014264,-0.019157,-0.015817,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,2900.000000,1.542990,0.028323,142,0.701407,0.730643,0.486265,0.994584,1.537905,0.014841,-0.018162,-0.015877,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,2808.072998,1.536900,0.026084,130,0.709818,0.717497,0.495581,0.998770,1.541098,0.013110,-0.016687,-0.015167,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,2738.020752,1.531764,0.023906,136,0.717259,0.783543,0.506509,1.002041,1.542320,0.013020,-0.015747,-0.012412,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,2442.512939,1.526443,0.023666,141,0.724160,0.743173,0.513905,1.006184,1.543112,0.013269,-0.014911,-0.012715,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,2443.229248,1.521862,0.022752,136,0.725886,0.753190,0.522649,1.009442,1.543575,0.013713,-0.014265,-0.011230,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,2352.669189,1.517524,0.020650,141,0.734458,0.829467,0.530711,1.012319,1.546049,0.012238,-0.013303,-0.009986,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,2275.976562,1.513552,0.017808,144,0.737478,0.799209,0.540291,1.014626,1.548688,0.010403,-0.012678,-0.006942,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,2103.971436,1.509776,0.016598,146,0.740281,0.808225,0.547516,1.017306,1.549895,0.009920,-0.011984,-0.005785,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,2117.122314,1.506235,0.014560,137,0.746859,0.784643,0.553252,1.019749,1.552790,0.007770,-0.010875,-0.005776,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,2054.817627,1.502696,0.013763,137,0.750310,0.810508,0.560310,1.022404,1.552964,0.008149,-0.010252,-0.004233,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,1935.351562,1.499953,0.011939,145,0.754893,0.809172,0.565350,1.024188,1.555721,0.005884,-0.009453,-0.004307,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,1820.182251,1.497465,0.010598,146,0.759099,0.846563,0.571261,1.025773,1.557364,0.004633,-0.008938,-0.003309,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,1907.747437,1.494888,0.008704,143,0.762226,0.840462,0.578908,1.026855,1.562220,-0.000028,-0.008698,-0.000302,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,1826.822876,1.492483,0.008171,144,0.765029,0.881695,0.583638,1.028710,1.562555,-0.000063,-0.008171,0.000017,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,1677.278687,1.490366,0.007898,149,0.770906,0.895350,0.588157,1.029963,1.565637,-0.002860,-0.007348,0.000442,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,1798.958374,1.488098,0.007134,141,0.772362,0.858006,0.592162,1.031912,1.564959,-0.001906,-0.006859,0.000465,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
