iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,7871.419434,2.802694,0.475105,51,0.192268,0.311511,0.168600,0.000000,0.624360,-0.068900,-0.211790,-0.419670,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,6762.435059,2.656708,0.441288,53,0.213026,0.318926,0.225663,0.109626,0.715941,-0.061524,-0.188385,-0.394285,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,6685.156250,2.526744,0.409392,54,0.235025,0.322283,0.281682,0.209128,0.792389,-0.053219,-0.169965,-0.368621,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,5836.067871,2.414419,0.378485,61,0.257184,0.334268,0.333330,0.294957,0.859165,-0.046066,-0.153955,-0.342676,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,5677.734375,2.321275,0.354742,60,0.279776,0.335169,0.369226,0.364300,0.924097,-0.044534,-0.139697,-0.323022,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,4922.265625,2.237505,0.332130,65,0.302367,0.335821,0.402208,0.428078,0.980191,-0.042084,-0.126986,-0.303997,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,4810.481934,2.164245,0.311648,70,0.324635,0.342977,0.431433,0.485350,1.026359,-0.038118,-0.117092,-0.286288,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,4731.966309,2.101917,0.294744,74,0.346094,0.353539,0.453126,0.532056,1.073895,-0.039173,-0.107163,-0.271763,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,4169.986816,2.041955,0.278185,76,0.368308,0.355827,0.474322,0.580912,1.109155,-0.034484,-0.099218,-0.257592,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4129.231934,1.990683,0.265981,84,0.388796,0.361865,0.487893,0.622274,1.143150,-0.032139,-0.091659,-0.247612,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,3857.161377,1.945284,0.251325,91,0.407613,0.372480,0.505370,0.659143,1.170746,-0.027909,-0.085750,-0.234590,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,3611.002686,1.903803,0.237936,87,0.428641,0.378592,0.519771,0.691556,1.201374,-0.027655,-0.079049,-0.222710,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,3537.304688,1.863776,0.229427,96,0.446595,0.389256,0.526735,0.727195,1.219930,-0.020020,-0.073269,-0.216489,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,3388.476562,1.831819,0.216463,89,0.465682,0.388424,0.540113,0.751387,1.246156,-0.020907,-0.067811,-0.204502,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,3208.398438,1.799488,0.206872,98,0.484822,0.404381,0.549511,0.779574,1.262050,-0.014695,-0.064195,-0.196110,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,3013.020752,1.771930,0.199770,110,0.501321,0.397666,0.555064,0.802938,1.279134,-0.011284,-0.060199,-0.190150,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,2876.627686,1.744936,0.191734,107,0.518628,0.409503,0.562053,0.826244,1.293911,-0.006816,-0.056441,-0.183111,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,2806.184814,1.720921,0.184493,102,0.535397,0.407267,0.568535,0.847465,1.305286,-0.000910,-0.054013,-0.176407,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,2618.489502,1.699357,0.181502,104,0.548606,0.411223,0.569050,0.867448,1.314287,0.006114,-0.050571,-0.174207,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,2563.281250,1.680169,0.175440,123,0.564835,0.419315,0.572967,0.882912,1.329701,0.006464,-0.046851,-0.168945,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,2427.799561,1.662594,0.171543,125,0.578315,0.428945,0.574650,0.898046,1.341081,0.009352,-0.043600,-0.165646,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2383.072998,1.646722,0.165353,115,0.591093,0.446332,0.578958,0.910929,1.353400,0.010485,-0.040377,-0.160004,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,2349.544189,1.633219,0.159002,109,0.603763,0.443773,0.583798,0.921391,1.365582,0.010433,-0.038429,-0.153935,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,2233.268311,1.620891,0.153262,124,0.614816,0.463484,0.587528,0.931019,1.376921,0.010510,-0.035964,-0.148611,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,2144.661377,1.608679,0.146631,121,0.626031,0.460652,0.592984,0.940792,1.386595,0.011567,-0.034420,-0.142064,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,2067.057373,1.597178,0.142136,128,0.637138,0.465353,0.596103,0.950648,1.393909,0.014113,-0.032943,-0.137544,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1987.369751,1.586008,0.138554,119,0.648083,0.470606,0.598205,0.960157,1.401771,0.015755,-0.031330,-0.134042,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1944.986938,1.576447,0.133927,136,0.658112,0.481948,0.601306,0.968059,1.409070,0.017214,-0.029884,-0.129410,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1830.859375,1.567603,0.130488,126,0.666415,0.481348,0.603193,0.975631,1.415149,0.019265,-0.028363,-0.125903,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,1802.148438,1.559073,0.126519,128,0.676659,0.483235,0.605322,0.982412,1.423345,0.018959,-0.026579,-0.122234,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1741.731812,1.551543,0.122897,125,0.682752,0.508528,0.607601,0.988724,1.428981,0.020401,-0.025530,-0.118472,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,1676.822876,1.544772,0.117821,122,0.690408,0.524772,0.611238,0.994002,1.435298,0.020744,-0.024416,-0.113381,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,1682.421875,1.538604,0.113686,124,0.699520,0.522954,0.613963,0.998845,1.441246,0.021023,-0.023521,-0.109222,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,1701.367188,1.532919,0.108082,127,0.704534,0.534504,0.618185,1.003106,1.447060,0.021073,-0.022521,-0.103588,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,1564.908813,1.527706,0.104041,131,0.712406,0.537006,0.620929,1.007204,1.452032,0.021567,-0.021835,-0.099412,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,1654.166626,1.523536,0.102958,144,0.716234,0.585227,0.619970,1.010439,1.457661,0.020977,-0.020542,-0.098684,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
