iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,688.737000,2.516537,0.061909,44,0.896730,0.000000,1.502150,0.021940,-0.057890,0.000260,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,901.562500,2.486342,0.062976,44,0.884985,0.026551,1.536160,0.030090,-0.055161,0.004217,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,1025.195312,2.450324,0.064746,48,0.865133,0.059586,1.562343,0.037855,-0.052258,0.005305,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,1203.190063,2.411492,0.064932,48,0.838783,0.096149,1.579962,0.041197,-0.049277,0.009521,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,1264.518188,2.379238,0.065628,53,0.814849,0.125986,1.606390,0.043395,-0.047115,0.014287,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,1546.354126,2.341568,0.070688,62,0.782444,0.162495,1.615982,0.051377,-0.045063,0.018069,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,1490.364624,2.302986,0.067320,62,0.797952,0.200468,1.633399,0.050717,-0.042441,0.012590,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,1471.549438,2.261839,0.072656,51,0.811259,0.241329,1.647195,0.058117,-0.040650,0.015777,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1428.385376,2.216689,0.071769,59,0.818277,0.286374,1.655618,0.057589,-0.038785,0.018169,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1445.442749,2.170998,0.073507,66,0.796771,0.332046,1.645026,0.059846,-0.036913,0.021431,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1299.934937,2.123457,0.076712,60,0.783441,0.379554,1.642007,0.064821,-0.034447,0.022282,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1395.182251,2.076649,0.078381,66,0.769312,0.426888,1.630400,0.068019,-0.032338,0.021709,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,1341.861938,2.037185,0.083271,69,0.780656,0.465629,1.647432,0.074401,-0.030314,0.021898,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1380.533813,1.994904,0.084224,72,0.792628,0.507714,1.657163,0.075673,-0.028805,0.023185,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1321.614624,1.953237,0.086330,78,0.789279,0.548627,1.674272,0.078098,-0.027325,0.024633,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1080.338501,1.909502,0.087565,74,0.795822,0.593551,1.652271,0.079254,-0.026138,0.026517,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1131.705688,1.873851,0.089665,89,0.775830,0.627892,1.673436,0.082143,-0.024629,0.026189,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,985.872375,1.834786,0.093023,86,0.777207,0.668698,1.640321,0.085008,-0.023513,0.029563,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,797.591125,1.792946,0.095766,89,0.794426,0.711310,1.634806,0.088477,-0.021503,0.029675,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,713.411438,1.757944,0.094799,103,0.813802,0.746084,1.649624,0.088547,-0.019723,0.027517,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,535.156250,1.713003,0.097117,101,0.808450,0.792089,1.631667,0.091070,-0.018695,0.028080,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,728.320312,1.686923,0.098745,117,0.777059,0.815989,1.654698,0.092076,-0.018271,0.030640,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,434.700531,1.649049,0.097518,113,0.779384,0.856169,1.622264,0.091118,-0.017094,0.030250,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,451.171875,1.629185,0.099513,120,0.803310,0.874824,1.648988,0.093431,-0.016314,0.030123,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,408.593750,1.600469,0.100686,126,0.766471,0.904626,1.623462,0.094401,-0.015757,0.031269,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,255.143234,1.572070,0.101469,122,0.797056,0.933079,1.631903,0.095530,-0.015067,0.030706,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,252.278641,1.532691,0.102811,122,0.793811,0.971185,1.650263,0.096725,-0.014287,0.031783,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,264.127594,1.496547,0.103532,131,0.760514,1.007146,1.645459,0.097357,-0.013878,0.032370,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,119.531250,1.483400,0.103996,142,0.802402,1.021124,1.646769,0.098428,-0.012591,0.031120,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,241.015625,1.463516,0.104547,142,0.761205,1.039148,1.662448,0.098792,-0.011970,0.032044,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,154.947922,1.448732,0.103939,147,0.800427,1.054333,1.670460,0.098563,-0.011189,0.031038,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
