iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,600.716125,2.652846,0.278980,47,0.933860,0.000000,0.881790,0.126820,0.239750,0.065320,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,607.487000,2.629287,0.279888,45,0.923572,0.008643,0.927707,0.148249,0.228050,0.065976,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,615.559875,2.603987,0.280753,44,0.915235,0.020164,0.972917,0.164891,0.217592,0.065475,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,696.809875,2.579853,0.282108,41,0.905681,0.031106,1.017900,0.179997,0.207703,0.063606,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,763.541687,2.556032,0.282551,39,0.898994,0.042636,1.062641,0.191897,0.197522,0.063209,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,1027.473999,2.527862,0.285052,45,0.891504,0.059789,1.105456,0.205562,0.187334,0.062492,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,1185.742188,2.499425,0.287830,49,0.881810,0.077857,1.147528,0.217235,0.178520,0.061531,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,1213.671875,2.466797,0.288924,49,0.875927,0.101616,1.186986,0.226226,0.168431,0.062691,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1652.994751,2.437718,0.292172,51,0.857685,0.121687,1.226073,0.236560,0.159576,0.062763,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1737.304688,2.401121,0.293535,47,0.846306,0.151168,1.261023,0.243609,0.151434,0.062331,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1912.630249,2.366578,0.297396,49,0.832878,0.178734,1.296632,0.252630,0.144836,0.060376,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1838.020874,2.318117,0.297323,43,0.832905,0.228865,1.293121,0.256819,0.137484,0.059523,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2132.031250,2.280308,0.298015,54,0.835233,0.261321,1.324726,0.261242,0.130257,0.059986,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1955.468750,2.239107,0.299205,57,0.806691,0.299209,1.341458,0.265657,0.124400,0.058945,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1970.507812,2.193341,0.297639,59,0.813813,0.343415,1.355268,0.266995,0.117204,0.059716,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1383.268188,2.152071,0.295582,61,0.791871,0.388512,1.336149,0.267830,0.108993,0.061288,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1578.385376,2.110513,0.297544,65,0.810042,0.432593,1.329895,0.272233,0.104896,0.058467,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1491.796875,2.069363,0.298871,66,0.829606,0.474881,1.331890,0.275956,0.099315,0.057517,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1427.473999,2.021918,0.300361,70,0.822940,0.520766,1.343224,0.279458,0.094201,0.056975,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1603.645874,1.978072,0.304899,71,0.832113,0.562982,1.357588,0.285690,0.089908,0.057108,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1456.901001,1.935927,0.306353,80,0.847747,0.607416,1.354546,0.288564,0.085186,0.057675,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,1206.250000,1.899556,0.308865,78,0.809949,0.643174,1.353875,0.292153,0.082150,0.057403,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,1453.515625,1.863612,0.310511,75,0.817615,0.674151,1.382910,0.295173,0.077689,0.057048,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,1389.648438,1.824544,0.311404,87,0.820595,0.708954,1.409217,0.297167,0.072956,0.057807,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1020.768250,1.794901,0.312580,85,0.816048,0.746805,1.371034,0.299389,0.069250,0.057244,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1208.007812,1.756652,0.313956,87,0.802430,0.779664,1.398543,0.301700,0.065230,0.057362,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,886.914062,1.715617,0.314321,87,0.804712,0.825858,1.379061,0.302915,0.061659,0.056908,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,971.614563,1.684847,0.316624,102,0.791627,0.849650,1.413367,0.306092,0.058157,0.056357,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1031.250000,1.648384,0.317622,108,0.801794,0.882122,1.438619,0.307767,0.055391,0.055637,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,700.520813,1.607213,0.317406,106,0.813049,0.927103,1.425725,0.308201,0.052298,0.054988,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,588.997375,1.562151,0.318495,118,0.798072,0.973146,1.423318,0.309772,0.049549,0.055002,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,371.093750,1.519959,0.319280,128,0.805645,1.018962,1.412796,0.311127,0.046036,0.054957,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,581.901062,1.507747,0.320936,129,0.804685,1.022572,1.454168,0.313192,0.043932,0.054595,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,290.299469,1.488417,0.321038,126,0.810144,1.052361,1.409255,0.313575,0.042133,0.054410,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,426.367188,1.484409,0.323231,131,0.789339,1.047121,1.448232,0.316117,0.039743,0.054485,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,245.638016,1.460636,0.323379,134,0.812147,1.079279,1.416613,0.316641,0.037527,0.053895,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,399.479156,1.455957,0.325529,143,0.780003,1.075638,1.449826,0.319025,0.035408,0.054210,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,323.893219,1.436974,0.325775,144,0.819203,1.096943,1.447450,0.319664,0.033341,0.053223,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,226.106766,1.426856,0.326543,132,0.767747,1.108959,1.432814,0.320518,0.031428,0.053951,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,209.570312,1.425961,0.306105,141,0.803264,1.105882,1.455107,0.300545,0.029644,0.049942,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,253.841141,1.418891,0.288544,140,0.771013,1.105694,1.487851,0.283213,0.028585,0.047229,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,80.924477,1.410755,0.268881,144,0.812704,1.119180,1.467806,0.263229,0.026226,0.048159,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,193.229172,1.413903,0.271121,145,0.782984,1.108454,1.501739,0.265540,0.024496,0.048941,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,61.718750,1.400016,0.271574,141,0.812531,1.130467,1.466253,0.266229,0.022968,0.048449,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,180.143234,1.404374,0.273964,142,0.783936,1.118373,1.500557,0.268596,0.022049,0.049255,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,42.317707,1.394215,0.255656,141,0.825523,1.133600,1.483385,0.250487,0.020463,0.046877,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,133.203125,1.399118,0.258054,155,0.790219,1.121666,1.513125,0.252715,0.019806,0.048319,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,218.424484,1.387572,0.242565,152,0.794060,1.127191,1.552992,0.237627,0.018953,0.044853,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,16.796875,1.383782,0.227296,152,0.782944,1.139842,1.497534,0.222751,0.018058,0.041463,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,109.309898,1.389297,0.229882,153,0.783829,1.127374,1.538101,0.225457,0.017577,0.041305,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,281.901031,1.387707,0.230557,157,0.790524,1.123556,1.578277,0.226241,0.016608,0.041183,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,60.156250,1.384793,0.229518,151,0.777485,1.134307,1.522451,0.225167,0.015954,0.041523,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,108.593750,1.387423,0.215510,147,0.797975,1.126854,1.557359,0.211406,0.015272,0.038970,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,162.500000,1.383891,0.216038,148,0.745399,1.131949,1.541267,0.211909,0.014194,0.039566,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,28.776041,1.385701,0.201105,145,0.790218,1.130216,1.544478,0.197307,0.013421,0.036511,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,143.164062,1.388301,0.202672,147,0.771220,1.121902,1.583343,0.198876,0.012731,0.036909,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,32.682293,1.382651,0.202381,153,0.806199,1.133467,1.547140,0.198714,0.012159,0.036375,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,62.044270,1.386137,0.188462,145,0.763297,1.125706,1.569677,0.184988,0.011477,0.034142,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,80.664062,1.384658,0.189112,147,0.803642,1.126377,1.583982,0.185821,0.011098,0.033326,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,90.950523,1.383551,0.189460,151,0.751333,1.128963,1.564341,0.186070,0.009919,0.034273,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,27.473959,1.384728,0.179130,155,0.794609,1.127412,1.572561,0.175770,0.009290,0.033260,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,159.375000,1.384895,0.180255,149,0.754873,1.123397,1.598750,0.176829,0.008736,0.033868,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
62,28.971354,1.384189,0.179903,154,0.797961,1.127807,1.574599,0.176719,0.007720,0.032799,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
63,162.304688,1.387010,0.181047,156,0.760236,1.120879,1.602633,0.177749,0.007588,0.033554,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
64,14.778646,1.385529,0.180640,146,0.792991,1.128022,1.561541,0.177478,0.007113,0.032886,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
65,142.968750,1.389293,0.182329,157,0.766046,1.119248,1.597028,0.179071,0.007379,0.033515,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
66,1.562500,1.382922,0.168610,154,0.801555,1.130936,1.561644,0.165143,0.006627,0.033366,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
67,92.252602,1.387034,0.170743,162,0.773737,1.121669,1.596690,0.167143,0.006369,0.034291,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
68,7.421875,1.376169,0.159852,153,0.811703,1.137201,1.568864,0.156652,0.006049,0.031243,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
69,19.661459,1.381162,0.149709,147,0.777226,1.127332,1.599506,0.146790,0.006008,0.028804,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
70,152.539062,1.382602,0.150715,149,0.773742,1.121923,1.640785,0.147795,0.006081,0.028889,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
71,9.765625,1.381637,0.149958,148,0.777677,1.128680,1.583758,0.147036,0.005980,0.028842,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
72,92.252602,1.385266,0.151711,153,0.775013,1.120614,1.624983,0.148815,0.005728,0.028939,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
73,16.276041,1.365798,0.151545,147,0.791636,1.145333,1.581037,0.148676,0.005398,0.028848,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
74,40.690105,1.371603,0.141075,143,0.768264,1.134879,1.618060,0.137757,0.004424,0.030095,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
75,76.106773,1.372632,0.141549,151,0.802325,1.132630,1.641923,0.138329,0.004130,0.029737,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
76,54.492188,1.374251,0.129442,156,0.757498,1.133461,1.604802,0.125875,0.004196,0.029883,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
77,47.591145,1.378030,0.130779,154,0.781944,1.126946,1.637444,0.127417,0.004757,0.029075,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
78,81.510414,1.368027,0.130931,165,0.740939,1.140206,1.600413,0.127530,0.003976,0.029381,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
79,7.942708,1.372283,0.121751,153,0.774914,1.133676,1.624703,0.118716,0.004117,0.026699,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
80,109.114586,1.375459,0.122900,156,0.770474,1.127264,1.665950,0.119830,0.005240,0.026791,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
81,7.161458,1.375161,0.113561,156,0.775086,1.132346,1.608715,0.110611,0.004922,0.025239,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
82,45.833332,1.379614,0.115474,157,0.769001,1.124150,1.649950,0.112560,0.004403,0.025403,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
83,59.505207,1.357772,0.115657,156,0.802883,1.146235,1.660172,0.112778,0.004405,0.025264,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
84,17.968750,1.361950,0.115680,160,0.751785,1.142934,1.634774,0.112499,0.004230,0.026608,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
85,14.908854,1.366338,0.107936,158,0.789005,1.137541,1.654800,0.105224,0.004228,0.023671,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
