iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,34029.816406,2.826434,0.463097,63,-0.567790,0.000000,1.796490,0.133390,0.295460,0.330710,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,26509.765625,2.786884,0.420987,71,-0.522528,0.020796,1.780702,0.129112,0.279611,0.287016,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,25122.720703,2.749003,0.383499,70,-0.476289,0.039727,1.766996,0.125829,0.265205,0.246788,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,20019.595703,2.712690,0.347875,62,-0.429511,0.057169,1.753866,0.121117,0.252292,0.206632,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,18884.048828,2.677912,0.315434,66,-0.382795,0.073513,1.737806,0.116321,0.239727,0.168816,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,11150.260742,2.645111,0.287934,65,-0.335020,0.087772,1.727613,0.111903,0.229109,0.133765,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,13388.801758,2.613701,0.263306,54,-0.287434,0.101284,1.713558,0.107884,0.218248,0.100294,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,9737.109375,2.583847,0.242673,61,-0.239393,0.113545,1.703106,0.104797,0.207382,0.070004,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,6115.039062,2.555780,0.227503,54,-0.191706,0.124853,1.687709,0.103839,0.197773,0.043139,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,8635.416992,2.529123,0.213655,53,-0.143459,0.135046,1.677970,0.101192,0.187510,0.015778,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,5830.338379,2.504219,0.205131,52,-0.095229,0.144209,1.666650,0.100038,0.178904,-0.008027,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4876.953125,2.479585,0.199020,54,-0.047331,0.154040,1.654740,0.096091,0.171375,-0.031719,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,3998.046875,2.455916,0.196066,54,0.000403,0.163739,1.642720,0.092606,0.163940,-0.054680,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,4467.187500,2.433123,0.194320,51,0.048026,0.173355,1.631497,0.090939,0.155704,-0.072433,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,2846.744873,2.410964,0.196035,50,0.095547,0.183068,1.622464,0.090028,0.148686,-0.090648,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
