iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,27852.734375,2.609508,0.445350,88,0.036990,0.000000,1.523840,-0.040990,0.093130,0.433570,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,20780.728516,2.574417,0.414275,89,0.078201,0.024912,1.525837,-0.023971,0.090450,0.403569,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,18381.445312,2.540715,0.387124,80,0.120259,0.048835,1.525394,-0.006523,0.087770,0.376986,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,14896.614258,2.508496,0.359099,72,0.162350,0.071497,1.527306,0.008007,0.084204,0.348995,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,14085.156250,2.477670,0.333617,75,0.205250,0.093377,1.525804,0.021406,0.080976,0.322932,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,10520.442383,2.448547,0.308550,63,0.248324,0.113868,1.526219,0.032790,0.077996,0.296723,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,9983.528320,2.420699,0.287318,67,0.291437,0.133598,1.527190,0.044324,0.075826,0.273564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,7026.106934,2.394086,0.267865,65,0.333978,0.152495,1.531375,0.055065,0.072689,0.251865,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,5958.268066,2.368728,0.250611,60,0.376641,0.170750,1.535351,0.062536,0.069805,0.232427,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4892.903809,2.344711,0.235109,61,0.419914,0.188462,1.536683,0.071187,0.067539,0.213652,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,5488.411621,2.321850,0.225714,63,0.463620,0.206009,1.534179,0.078319,0.062609,0.202220,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4521.744629,2.299800,0.213640,59,0.506790,0.223234,1.534902,0.085375,0.060424,0.186285,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2899.804688,2.277975,0.199911,63,0.549875,0.241291,1.532395,0.091475,0.059638,0.167452,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,3297.070312,2.256611,0.192403,59,0.592376,0.259465,1.532171,0.098514,0.057701,0.154869,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1893.684937,2.235267,0.184239,61,0.633744,0.278085,1.535529,0.103984,0.056350,0.141266,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,2604.557373,2.212045,0.180242,61,0.671738,0.298834,1.545339,0.109673,0.054531,0.132232,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1646.875000,2.191714,0.175986,62,0.712455,0.317861,1.548822,0.112562,0.051915,0.124923,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,2005.468750,2.170142,0.173549,60,0.751883,0.338838,1.552789,0.116869,0.050350,0.118007,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1260.677124,2.143857,0.169611,60,0.788849,0.366142,1.546863,0.117420,0.047682,0.112724,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1561.393188,2.106948,0.169241,67,0.814947,0.403975,1.545823,0.121744,0.045277,0.108494,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1558.984375,2.078503,0.171612,65,0.844214,0.432345,1.559997,0.128658,0.044251,0.104593,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,1516.796875,2.039972,0.173964,62,0.866677,0.472364,1.558778,0.132391,0.041554,0.104926,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,1501.432251,2.014466,0.176778,69,0.892784,0.497843,1.579553,0.135941,0.039855,0.105745,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,1410.026001,1.971922,0.176657,79,0.906908,0.541890,1.577778,0.136226,0.037664,0.105980,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1089.257812,1.933617,0.180169,78,0.917994,0.583874,1.552227,0.140198,0.037036,0.106929,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1090.820312,1.890010,0.181370,80,0.906448,0.625344,1.567448,0.142177,0.035717,0.106794,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1252.148438,1.854686,0.181751,78,0.888365,0.657140,1.593214,0.142239,0.033896,0.107947,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,922.786438,1.810093,0.182463,90,0.892694,0.703526,1.580425,0.143874,0.033166,0.107206,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
