iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,3789.192627,2.618038,0.163233,57,0.476060,0.000000,1.022620,-0.124510,0.102370,0.025740,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,2758.789062,2.591646,0.141374,54,0.489170,0.014836,1.062571,-0.100530,0.097553,0.019069,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,1914.257812,2.566793,0.122193,52,0.501745,0.028562,1.102859,-0.078476,0.092849,0.012323,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,1630.143188,2.542089,0.105444,45,0.517289,0.042776,1.141633,-0.056918,0.088634,0.004785,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,1130.013062,2.518957,0.095369,59,0.528778,0.055902,1.182031,-0.043327,0.084681,-0.006870,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,600.651062,2.495415,0.084959,50,0.541384,0.070133,1.221492,-0.024733,0.080403,-0.011906,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,684.895813,2.471052,0.079593,52,0.555480,0.085914,1.259645,-0.006800,0.076814,-0.019709,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,320.833344,2.449070,0.076811,52,0.564146,0.099816,1.299982,0.008800,0.072633,-0.023385,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,475.716156,2.426480,0.077289,48,0.576610,0.114954,1.338548,0.021097,0.068864,-0.028040,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,562.434875,2.401751,0.079164,57,0.586562,0.133093,1.376574,0.031619,0.065348,-0.031573,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,645.572937,2.379059,0.083189,51,0.600996,0.149583,1.413458,0.041907,0.061989,-0.036354,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,466.015625,2.354545,0.087685,46,0.617184,0.168650,1.448257,0.052152,0.058735,-0.038975,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,991.666687,2.330796,0.090850,50,0.630265,0.187500,1.484262,0.057957,0.056155,-0.041730,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1144.010376,2.302266,0.093427,58,0.635091,0.212192,1.519436,0.064507,0.052576,-0.042465,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1164.843750,2.272583,0.102820,57,0.654887,0.238486,1.547169,0.070190,0.051121,-0.055064,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1330.208374,2.245110,0.105158,58,0.644990,0.263645,1.582043,0.073963,0.048721,-0.056693,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1330.338501,2.203344,0.106965,61,0.664330,0.304036,1.591475,0.076611,0.046862,-0.058105,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1124.023438,2.155667,0.108774,63,0.671249,0.351664,1.590782,0.081965,0.043799,-0.056526,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1347.656250,2.116839,0.111077,61,0.651723,0.390125,1.609379,0.086385,0.041229,-0.056355,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1263.216187,2.073545,0.112584,66,0.669959,0.432548,1.612789,0.087849,0.039937,-0.057989,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1058.658813,2.027323,0.112693,77,0.680542,0.479193,1.603183,0.087117,0.038399,-0.060298,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,1037.565063,1.986626,0.113650,68,0.693236,0.518519,1.618873,0.089633,0.036506,-0.059578,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
