iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,8798.762695,2.767913,0.181482,53,-0.147390,0.000000,0.971520,-0.129370,0.108220,-0.066990,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,6620.182129,2.739374,0.173964,48,-0.117083,0.010579,1.004939,-0.107478,0.101705,-0.091477,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,4191.731934,2.712334,0.170940,47,-0.084588,0.019811,1.036642,-0.087309,0.095441,-0.111753,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,3975.520752,2.686270,0.171356,50,-0.054690,0.028866,1.070280,-0.067437,0.088504,-0.130316,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,2173.372314,2.660410,0.178125,48,-0.024520,0.038346,1.103350,-0.048762,0.082594,-0.150097,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,2396.614502,2.636012,0.186559,42,0.003074,0.047161,1.138249,-0.032497,0.076967,-0.166806,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,1685.742188,2.612947,0.197813,49,0.030392,0.055201,1.173270,-0.017115,0.073272,-0.182943,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,1291.341187,2.589673,0.206441,48,0.060683,0.063816,1.205703,-0.002020,0.067668,-0.195025,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1065.364624,2.568033,0.216811,48,0.087488,0.071747,1.240628,0.012550,0.062032,-0.207368,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1188.867188,2.543051,0.226820,45,0.114436,0.084075,1.274108,0.025364,0.057589,-0.217917,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,876.953125,2.519091,0.236102,45,0.137397,0.096500,1.309863,0.037217,0.053454,-0.226940,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,847.395813,2.498295,0.244896,49,0.157677,0.106557,1.347429,0.047219,0.049668,-0.235112,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
