iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,25104.947266,2.802763,0.508113,70,-0.421520,0.000000,1.267280,0.271660,0.211860,0.373490,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,21863.607422,2.765012,0.475553,71,-0.375611,0.021457,1.265111,0.279041,0.203275,0.327057,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,15191.862305,2.729001,0.446434,67,-0.329137,0.040962,1.264156,0.284204,0.197259,0.282171,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,11641.276367,2.694614,0.421275,64,-0.282208,0.059395,1.261187,0.287944,0.190510,0.241384,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,11462.825195,2.661983,0.399745,52,-0.234898,0.076230,1.258606,0.293452,0.185470,0.198199,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,7266.275879,2.631146,0.383530,54,-0.187333,0.092216,1.253098,0.297254,0.179610,0.162712,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,7816.536621,2.601846,0.371022,52,-0.139615,0.107151,1.247546,0.301064,0.173449,0.130130,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,6470.703125,2.574137,0.361685,51,-0.091875,0.119874,1.247578,0.304536,0.169509,0.096646,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,5525.650879,2.548229,0.355123,46,-0.043905,0.131650,1.245914,0.307189,0.165030,0.067174,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,6074.414062,2.522739,0.350787,50,0.003684,0.145083,1.238539,0.309219,0.161187,0.038137,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,3998.893311,2.498642,0.348194,47,0.051367,0.156519,1.236952,0.310887,0.156276,0.012885,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4679.947754,2.474287,0.347785,48,0.098629,0.169273,1.234709,0.312673,0.152012,-0.009083,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2091.015625,2.451495,0.349916,47,0.145829,0.180817,1.234059,0.316964,0.145841,-0.026567,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,3964.713623,2.427350,0.351939,50,0.192325,0.195068,1.232013,0.319797,0.140450,-0.043177,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,2759.114502,2.403115,0.355559,48,0.237513,0.208728,1.237758,0.323334,0.135982,-0.058191,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,3291.210938,2.377741,0.358597,49,0.282622,0.225640,1.237656,0.325863,0.131605,-0.071308,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,2837.565186,2.353584,0.361123,49,0.326965,0.244552,1.227167,0.327425,0.127752,-0.082958,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,2210.742188,2.325639,0.363690,47,0.367730,0.269650,1.213338,0.329738,0.122820,-0.091970,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,2728.190186,2.287593,0.366498,58,0.395522,0.299583,1.234644,0.331990,0.118689,-0.100081,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,2366.862061,2.259292,0.368771,50,0.431748,0.328375,1.214125,0.334124,0.114167,-0.106393,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1758.854126,2.224126,0.371940,51,0.467782,0.360287,1.212674,0.337513,0.109546,-0.111461,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2172.526123,2.186137,0.376071,56,0.498471,0.392622,1.225706,0.340756,0.107014,-0.117740,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,1777.799438,2.142484,0.379391,58,0.515851,0.438586,1.215225,0.343727,0.104242,-0.122160,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,1690.429688,2.098893,0.382939,56,0.538794,0.480407,1.218975,0.347290,0.100996,-0.125825,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1769.270874,2.057990,0.385566,64,0.550981,0.514643,1.245944,0.350341,0.097686,-0.127985,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1714.908813,2.019379,0.389179,62,0.524382,0.559090,1.240240,0.354456,0.094315,-0.130101,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1394.335938,1.979668,0.392582,68,0.548831,0.600480,1.229961,0.357538,0.091841,-0.133613,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1530.208374,1.937770,0.394811,81,0.556232,0.636165,1.256517,0.360410,0.088015,-0.135032,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1286.848999,1.893293,0.397450,79,0.540964,0.681387,1.266772,0.363131,0.085285,-0.137219,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,1244.335938,1.846305,0.400126,78,0.547524,0.729196,1.268235,0.365745,0.082397,-0.139794,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1104.557251,1.805124,0.402701,79,0.567639,0.765119,1.285879,0.368226,0.079823,-0.142146,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,1295.182251,1.767800,0.405197,91,0.551277,0.798688,1.312780,0.371070,0.077366,-0.143199,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,994.987000,1.722667,0.407467,93,0.552119,0.847644,1.304867,0.373298,0.075048,-0.145071,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,1271.289062,1.698471,0.410106,97,0.555015,0.862202,1.344535,0.375473,0.073546,-0.147641,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,857.682312,1.661763,0.411182,99,0.547699,0.907815,1.319331,0.376045,0.072429,-0.149716,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,857.877625,1.645635,0.413571,103,0.587323,0.915822,1.335232,0.378136,0.070498,-0.151933,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,865.234375,1.612430,0.414589,104,0.554439,0.951989,1.343369,0.379467,0.068376,-0.152358,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,630.338562,1.578001,0.416004,107,0.586690,0.985329,1.338677,0.380753,0.066633,-0.153775,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,625.390625,1.544671,0.417792,114,0.558213,1.018536,1.356948,0.382692,0.064728,-0.154620,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,403.255219,1.506473,0.419583,130,0.585728,1.055533,1.355045,0.384198,0.062755,-0.156536,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,471.484375,1.471883,0.421174,126,0.562766,1.088398,1.377492,0.385743,0.061353,-0.157564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,241.601562,1.455534,0.422653,127,0.603574,1.106065,1.357465,0.386708,0.060721,-0.159391,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,371.158844,1.441287,0.424147,137,0.563761,1.119381,1.380521,0.388487,0.059029,-0.159668,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,112.955727,1.434842,0.397480,134,0.609613,1.123656,1.369552,0.363922,0.058054,-0.148933,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,322.330719,1.434916,0.399717,139,0.600413,1.113875,1.410491,0.366417,0.056712,-0.149317,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,27.148438,1.414412,0.375157,145,0.613426,1.144841,1.368616,0.343110,0.056001,-0.141003,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,167.968750,1.420533,0.378248,135,0.610687,1.128209,1.408395,0.346468,0.054286,-0.141720,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,374.348969,1.417505,0.379698,146,0.612888,1.121521,1.449475,0.347958,0.053137,-0.142382,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,45.898438,1.405500,0.356647,139,0.604459,1.146733,1.399405,0.326572,0.052004,-0.133579,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,111.848961,1.411801,0.332359,154,0.612498,1.130074,1.437622,0.305018,0.050117,-0.122126,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,119.531250,1.413842,0.309695,153,0.633531,1.118712,1.471742,0.284352,0.048848,-0.112555,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,167.968750,1.402311,0.288882,151,0.644697,1.122312,1.510497,0.266323,0.046575,-0.101761,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,117.513023,1.386791,0.289081,154,0.687577,1.136675,1.503755,0.266503,0.044972,-0.102574,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,94.531250,1.385965,0.288860,148,0.634354,1.141568,1.500622,0.266930,0.043269,-0.101567,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,25.781250,1.386188,0.271319,151,0.680449,1.139708,1.492539,0.250608,0.041962,-0.095124,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,124.414062,1.389426,0.272513,150,0.651124,1.132155,1.527003,0.252296,0.040426,-0.094742,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,34.700520,1.383699,0.255152,160,0.696215,1.137671,1.513806,0.236024,0.039288,-0.088611,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,114.388023,1.386272,0.255826,151,0.655609,1.133067,1.539445,0.237300,0.038101,-0.087659,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,10.221354,1.382033,0.240711,156,0.696427,1.139865,1.510886,0.223832,0.036743,-0.080566,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,56.640625,1.385795,0.225493,162,0.666882,1.131943,1.545206,0.210011,0.035329,-0.074124,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,60.742188,1.387132,0.212343,153,0.701135,1.125625,1.568773,0.196946,0.034074,-0.071699,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,129.231766,1.385012,0.212182,155,0.648667,1.130578,1.569248,0.197207,0.032893,-0.071052,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
