iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,36848.828125,2.732375,0.500986,74,-0.284560,0.000000,1.368480,0.236080,0.049260,0.439120,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,31480.468750,2.692415,0.466532,73,-0.240847,0.026728,1.362385,0.243374,0.048485,0.395058,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,25121.419922,2.654322,0.434772,70,-0.196172,0.051293,1.357553,0.251009,0.049028,0.351593,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,20605.859375,2.617999,0.409549,71,-0.150891,0.074282,1.352253,0.258061,0.046443,0.314608,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,17178.970703,2.583253,0.383628,67,-0.105169,0.095873,1.347444,0.262600,0.047287,0.275637,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,14290.690430,2.550321,0.364162,58,-0.059080,0.116193,1.341355,0.269167,0.047232,0.240691,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,14057.356445,2.519066,0.346989,61,-0.012679,0.135193,1.335634,0.272927,0.046949,0.209064,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,10198.437500,2.489184,0.334711,58,0.033382,0.154250,1.325791,0.277810,0.045227,0.181129,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,10357.226562,2.460992,0.323998,58,0.079947,0.171655,1.318351,0.282026,0.046433,0.152577,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,7182.747559,2.435006,0.316691,51,0.126945,0.186363,1.316243,0.286006,0.046022,0.127968,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,6101.757812,2.409945,0.310742,57,0.173777,0.200931,1.314014,0.288740,0.046082,0.105197,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,6609.505371,2.385028,0.307776,48,0.220083,0.217120,1.307276,0.292879,0.046301,0.082485,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,5692.643066,2.361937,0.306146,55,0.266551,0.232059,1.301145,0.295842,0.045488,0.064291,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,5049.479004,2.339926,0.305980,55,0.312925,0.246070,1.298311,0.298911,0.044916,0.047524,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,4226.692871,2.317054,0.306301,54,0.358521,0.262018,1.295116,0.301173,0.044567,0.033597,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,4055.208252,2.294542,0.309029,53,0.403666,0.278041,1.294071,0.305171,0.043407,0.022033,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
