iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,12399.088867,2.662747,0.339345,70,-0.122000,0.000000,1.467440,-0.071360,0.247010,0.221470,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,11168.815430,2.631481,0.310173,62,-0.078510,0.017713,1.473389,-0.061323,0.234764,0.193217,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,7975.585938,2.601763,0.286232,62,-0.034576,0.034202,1.478981,-0.053044,0.223000,0.171424,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,7726.888184,2.572926,0.267856,59,0.009247,0.050311,1.484936,-0.033640,0.211294,0.161151,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,7657.747559,2.545163,0.243767,54,0.053624,0.065908,1.489018,-0.022611,0.200895,0.136208,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,5051.106934,2.518971,0.222850,53,0.096469,0.080283,1.498841,-0.016446,0.190940,0.113725,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,3937.695312,2.493804,0.203718,56,0.139350,0.094204,1.508516,-0.007650,0.181743,0.091716,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,3308.789062,2.469620,0.187680,53,0.181647,0.107745,1.519540,-0.002971,0.172813,0.073146,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,3683.137939,2.445991,0.171453,55,0.224858,0.121428,1.527528,0.003054,0.164098,0.049586,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,2848.307373,2.422904,0.160420,51,0.267374,0.135235,1.536874,0.006378,0.156532,0.034521,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1857.096313,2.400680,0.150299,55,0.308481,0.148816,1.549347,0.008670,0.147361,0.028269,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1587.825562,2.379103,0.141622,57,0.349833,0.162436,1.560823,0.010328,0.140247,0.016760,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2075.976562,2.358460,0.133990,51,0.391057,0.175795,1.572330,0.014242,0.133091,0.006104,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1284.309937,2.338348,0.127756,58,0.426104,0.189463,1.593858,0.020102,0.125782,0.009819,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1274.609375,2.314436,0.122702,53,0.462488,0.207751,1.610190,0.025598,0.119995,0.001354,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1582.291626,2.290655,0.118116,60,0.502019,0.226563,1.619263,0.028641,0.114456,-0.005552,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1532.682251,2.268137,0.113291,62,0.543946,0.244995,1.619851,0.034836,0.107709,-0.004456,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1444.466187,2.242180,0.109273,57,0.582009,0.267522,1.626736,0.037014,0.102318,-0.010078,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1425.716187,2.214945,0.106817,57,0.616602,0.291885,1.638579,0.042234,0.097192,-0.013412,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1329.036499,2.178864,0.104260,56,0.641049,0.326069,1.652006,0.042795,0.092639,-0.021372,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1271.354126,2.141063,0.101343,61,0.666891,0.362535,1.657878,0.044935,0.087756,-0.023456,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,1112.695312,2.103245,0.099060,58,0.693523,0.399466,1.659402,0.045497,0.083609,-0.027430,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,1154.882812,2.072622,0.096399,70,0.720102,0.428926,1.675715,0.048203,0.079614,-0.025117,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,1206.250000,2.025370,0.096123,69,0.721688,0.476168,1.676313,0.053200,0.076006,-0.025149,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1266.666626,1.987115,0.094375,72,0.698052,0.514444,1.690868,0.055242,0.072324,-0.024987,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1238.085938,1.943617,0.093241,81,0.706983,0.557507,1.699830,0.058460,0.069159,-0.022211,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1097.786499,1.897724,0.091006,72,0.716059,0.603366,1.695364,0.060009,0.065973,-0.018126,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1150.260376,1.854400,0.090806,90,0.707886,0.646577,1.707008,0.062347,0.062894,-0.020076,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,920.638000,1.808844,0.089270,91,0.694817,0.692885,1.693343,0.060918,0.060194,-0.025196,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,655.143250,1.778023,0.089810,95,0.714932,0.724697,1.658172,0.063821,0.057515,-0.026169,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,689.257812,1.740698,0.089907,98,0.713895,0.761062,1.680584,0.065963,0.054812,-0.026976,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,586.132812,1.698437,0.090165,112,0.730437,0.803282,1.676164,0.066846,0.052761,-0.029626,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,327.148438,1.656420,0.090639,108,0.721227,0.846793,1.650966,0.068619,0.050532,-0.030876,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,589.908875,1.642876,0.089803,111,0.720525,0.858480,1.690136,0.069531,0.047985,-0.030454,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,244.466141,1.619142,0.087766,124,0.729170,0.884507,1.643370,0.069731,0.045346,-0.028005,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,356.640625,1.591877,0.089352,126,0.735863,0.909994,1.674148,0.072468,0.043585,-0.028856,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,218.684891,1.547144,0.089549,128,0.723004,0.955417,1.665210,0.073980,0.041514,-0.028681,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,382.747406,1.525791,0.089934,125,0.704891,0.975761,1.698053,0.075333,0.039512,-0.029189,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,95.833336,1.506235,0.089401,131,0.721766,0.997233,1.651815,0.075064,0.037825,-0.030449,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,210.742188,1.486676,0.089692,136,0.726636,1.014824,1.687439,0.076525,0.035915,-0.029977,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,36.132812,1.469046,0.089522,141,0.713619,1.035792,1.636561,0.076504,0.035070,-0.030521,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,119.335938,1.465394,0.090702,134,0.719771,1.036747,1.676799,0.078341,0.033451,-0.031154,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,185.221359,1.439268,0.089035,148,0.701333,1.062241,1.705570,0.077333,0.031653,-0.030742,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,25.195312,1.434259,0.087749,148,0.725382,1.068978,1.656889,0.076159,0.030108,-0.031515,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
