iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,3861.197998,2.574322,0.199027,45,0.138050,0.000000,1.801500,-0.006130,-0.132460,-0.148420,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,3576.497314,2.546295,0.190050,42,0.185107,0.017442,1.787690,-0.005189,-0.126266,-0.141947,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,3863.737061,2.516453,0.182519,47,0.230617,0.037846,1.773934,-0.002337,-0.120744,-0.136853,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,3544.856689,2.487658,0.169265,55,0.276169,0.057918,1.762834,-0.003370,-0.114917,-0.124230,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,2709.570312,2.459317,0.171520,50,0.320430,0.078521,1.762276,-0.003771,-0.109308,-0.132123,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,2617.447998,2.429974,0.171815,52,0.364285,0.100839,1.755104,-0.000891,-0.104949,-0.136034,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,2522.330811,2.397486,0.169665,50,0.400821,0.128121,1.764324,0.000694,-0.100218,-0.136901,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,2189.518311,2.361436,0.160756,48,0.437696,0.159338,1.762184,0.005427,-0.095280,-0.129363,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,2008.723999,2.317094,0.151531,53,0.461955,0.200907,1.761245,0.005948,-0.090558,-0.121349,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1847.981812,2.278042,0.151259,58,0.494460,0.236338,1.747127,0.007587,-0.086460,-0.123881,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1674.153687,2.236852,0.150981,64,0.522867,0.274782,1.732046,0.011373,-0.082652,-0.125836,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1308.789062,2.192398,0.149534,60,0.544265,0.317522,1.717248,0.016006,-0.079469,-0.125654,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,1591.927124,2.161761,0.149422,63,0.533465,0.349116,1.745212,0.017678,-0.075438,-0.127764,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1664.322876,2.120892,0.149381,71,0.541108,0.389455,1.762119,0.021293,-0.072017,-0.129131,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1366.992188,2.080955,0.142530,66,0.568516,0.426985,1.743228,0.023310,-0.068976,-0.122531,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1431.445312,2.033625,0.134141,69,0.572641,0.474136,1.742999,0.023246,-0.065430,-0.114771,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1266.601562,1.990434,0.133623,65,0.594864,0.515675,1.735366,0.026195,-0.062391,-0.115222,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1170.703125,1.944918,0.130752,78,0.582023,0.562522,1.724171,0.027916,-0.059402,-0.113085,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1187.695312,1.909086,0.130949,81,0.594571,0.597257,1.745286,0.028636,-0.056597,-0.114561,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,810.742188,1.872174,0.124755,82,0.610367,0.633457,1.710578,0.028010,-0.053903,-0.108966,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1110.481812,1.840992,0.116815,92,0.586172,0.666424,1.729695,0.027975,-0.051171,-0.101216,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,737.890625,1.814253,0.108714,90,0.617751,0.691339,1.697363,0.026147,-0.049292,-0.093303,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,723.046875,1.778971,0.103182,101,0.634466,0.725104,1.716281,0.026947,-0.047080,-0.087772,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,723.242188,1.754836,0.104448,98,0.658945,0.747554,1.740444,0.028243,-0.045253,-0.089799,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,654.101562,1.710046,0.101422,107,0.656848,0.792501,1.744880,0.029477,-0.043160,-0.086918,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,515.299500,1.665138,0.100759,100,0.647301,0.838166,1.728928,0.030334,-0.040804,-0.086990,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,560.156250,1.628727,0.099223,117,0.650859,0.874294,1.749549,0.030176,-0.038352,-0.086393,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,358.658844,1.585026,0.093846,129,0.650958,0.918249,1.726258,0.028810,-0.036550,-0.081493,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,443.554688,1.559559,0.091826,124,0.660164,0.943043,1.756244,0.028034,-0.035002,-0.080131,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,188.476562,1.525776,0.089846,122,0.666913,0.976860,1.716369,0.027986,-0.033567,-0.078500,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
