iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,50.976562,2.526907,0.425191,46,0.392230,0.000000,1.835210,-0.220500,-0.114430,-0.345070,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,488.867188,2.500026,0.411629,50,0.375207,0.030720,1.860985,-0.205319,-0.113949,-0.338079,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,123.372398,2.471938,0.387165,53,0.353978,0.063568,1.882064,-0.194480,-0.108208,-0.316805,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,284.570312,2.442566,0.369761,52,0.334772,0.097822,1.902487,-0.181858,-0.105298,-0.304242,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,591.406250,2.412699,0.347115,46,0.326895,0.131351,1.927768,-0.166722,-0.102753,-0.286592,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,898.112000,2.379760,0.325982,51,0.314507,0.168737,1.947022,-0.157807,-0.098448,-0.267711,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,1183.268188,2.341145,0.309798,54,0.312967,0.209851,1.962561,-0.149392,-0.095324,-0.254107,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,1405.403687,2.297350,0.293223,58,0.313355,0.255122,1.968356,-0.139706,-0.091139,-0.241155,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1388.997437,2.249043,0.274797,58,0.322278,0.301433,1.953842,-0.128786,-0.087523,-0.226423,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1711.979126,2.214302,0.254666,53,0.340870,0.335204,1.972269,-0.120594,-0.082882,-0.208428,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,1734.244751,2.171363,0.239813,59,0.367454,0.371957,1.949767,-0.110396,-0.079947,-0.197310,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1643.359375,2.138094,0.229446,65,0.406295,0.398544,1.942867,-0.108279,-0.076235,-0.187375,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2015.234375,2.097012,0.212060,67,0.407397,0.441243,1.953965,-0.101151,-0.071894,-0.171957,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1730.078125,2.063644,0.198205,68,0.441635,0.467049,1.925067,-0.092390,-0.069592,-0.160954,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1368.880249,2.039585,0.188380,72,0.482070,0.483489,1.897667,-0.090302,-0.065056,-0.151988,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1229.557251,2.006372,0.177657,77,0.518019,0.512283,1.893854,-0.087071,-0.061865,-0.141963,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1244.726562,1.959095,0.168771,73,0.519446,0.558856,1.879840,-0.075686,-0.059487,-0.138624,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,998.632812,1.926079,0.158201,89,0.546336,0.587080,1.845060,-0.068120,-0.057110,-0.130866,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1289.322876,1.894244,0.140872,78,0.548692,0.620295,1.869768,-0.063009,-0.053508,-0.114069,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1024.934937,1.873081,0.133644,82,0.591721,0.636608,1.855583,-0.059390,-0.050814,-0.108404,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,708.984375,1.841593,0.125976,89,0.620913,0.664434,1.824149,-0.054625,-0.048314,-0.102722,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,608.398438,1.796186,0.119952,89,0.619389,0.709346,1.802759,-0.049923,-0.046313,-0.098749,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
