iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,5313.476562,2.574609,0.569854,61,0.491710,0.000000,1.191520,0.230300,0.241410,0.461970,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,5388.932129,2.546092,0.550425,57,0.529983,0.024954,1.194732,0.243393,0.232490,0.435518,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,3381.835938,2.518680,0.531215,52,0.568174,0.048607,1.201034,0.254631,0.224564,0.408563,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,4092.512939,2.492723,0.515658,52,0.607115,0.071974,1.204159,0.266194,0.216284,0.385052,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,3536.262939,2.467174,0.502765,50,0.645437,0.094755,1.210731,0.277222,0.208128,0.364148,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,3257.031250,2.443156,0.490263,49,0.684063,0.116434,1.217763,0.285909,0.200022,0.344390,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,2476.237061,2.418806,0.479272,49,0.722540,0.140133,1.220001,0.292543,0.191251,0.327937,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,2509.895752,2.393761,0.469612,51,0.760096,0.165207,1.222049,0.299333,0.183382,0.311939,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,2340.169189,2.369239,0.460982,49,0.796939,0.189178,1.229240,0.304942,0.174950,0.298173,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,1077.539062,2.345591,0.452612,53,0.834324,0.214529,1.229129,0.309005,0.166998,0.285456,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,2275.325439,2.320122,0.448618,55,0.868161,0.239253,1.242036,0.315863,0.158715,0.276221,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,2204.557373,2.293561,0.444622,54,0.901887,0.269841,1.236439,0.321156,0.151514,0.267564,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2102.018311,2.266191,0.440490,52,0.934196,0.298281,1.245888,0.326403,0.144966,0.257832,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,2048.046875,2.237347,0.439323,52,0.965420,0.330944,1.245508,0.331171,0.135338,0.254978,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1934.700562,2.208443,0.437367,60,0.994188,0.366108,1.236095,0.335387,0.128570,0.249551,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,2111.914062,2.173433,0.437343,53,1.016244,0.406599,1.229809,0.340467,0.122922,0.245440,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,2235.546875,2.135034,0.438125,60,1.034645,0.448328,1.232323,0.345471,0.115331,0.243520,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1942.838501,2.099721,0.439976,58,1.051345,0.482097,1.253931,0.350950,0.108780,0.242033,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1685.807251,2.061474,0.440604,65,1.048933,0.527484,1.230872,0.355086,0.101233,0.240412,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,1393.880249,2.015334,0.443399,56,1.046520,0.572068,1.243318,0.360354,0.095518,0.240050,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,1495.442749,1.975610,0.445620,67,1.022136,0.614956,1.225040,0.365283,0.090559,0.238630,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,1403.710938,1.929030,0.447599,69,1.010340,0.658196,1.238984,0.370075,0.084787,0.237066,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,1404.296875,1.884420,0.450313,74,1.005822,0.698990,1.258110,0.375182,0.080039,0.235826,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,1131.901001,1.841817,0.452782,73,1.008346,0.746154,1.250427,0.379756,0.077263,0.234152,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1424.088501,1.797772,0.455734,76,1.006199,0.786899,1.268717,0.384599,0.073278,0.233254,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,1402.994751,1.772635,0.457580,91,0.992781,0.800521,1.308338,0.388240,0.068616,0.232251,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1409.765625,1.738159,0.458599,90,1.013103,0.841129,1.302649,0.390718,0.063230,0.231635,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,938.151062,1.713221,0.460486,83,0.985910,0.873270,1.267067,0.393664,0.058783,0.231561,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,966.015625,1.678577,0.463753,94,1.005985,0.913501,1.265112,0.398269,0.054978,0.231142,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,780.143250,1.633648,0.467579,102,0.985401,0.954643,1.275381,0.402959,0.050697,0.231698,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1050.130249,1.619588,0.471031,101,0.976832,0.955778,1.317578,0.407592,0.046244,0.231517,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,772.070312,1.577333,0.472443,112,0.947813,0.995247,1.320387,0.410124,0.042129,0.230708,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,557.161438,1.560383,0.473542,107,0.973320,1.025608,1.290552,0.412701,0.037768,0.229115,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,726.106750,1.533413,0.476390,119,0.973632,1.042816,1.328148,0.416435,0.033818,0.228879,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,539.388000,1.496594,0.478300,126,0.936671,1.077470,1.324141,0.418889,0.030768,0.228815,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,405.664062,1.480532,0.479801,128,0.974099,1.098263,1.329418,0.421683,0.027581,0.227227,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,690.039062,1.471482,0.481854,123,0.936181,1.093861,1.358377,0.424106,0.024322,0.227432,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,189.843750,1.450166,0.452803,132,0.956529,1.128084,1.327892,0.396753,0.019656,0.217326,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,155.859375,1.452216,0.423664,128,0.943142,1.112477,1.367366,0.368809,0.014806,0.207970,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,480.664062,1.446457,0.426089,140,0.935766,1.106665,1.408905,0.371679,0.012478,0.207969,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,244.205734,1.433156,0.426675,130,0.949908,1.133934,1.365505,0.372540,0.010624,0.207733,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,307.161469,1.436659,0.429267,135,0.934945,1.117856,1.404365,0.375456,0.008235,0.207931,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,149.023438,1.421131,0.429929,133,0.952979,1.147088,1.365236,0.376328,0.006921,0.207769,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,201.302078,1.423376,0.402353,136,0.938000,1.132097,1.404313,0.353169,0.005389,0.192692,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,230.273438,1.404818,0.404218,137,0.887915,1.144836,1.406454,0.354982,0.003379,0.193308,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,117.838539,1.402559,0.377340,137,0.931360,1.151254,1.410640,0.331364,0.001390,0.180503,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,264.388031,1.408701,0.379903,142,0.909205,1.133595,1.446636,0.333827,0.000302,0.181344,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,125.195312,1.393569,0.380474,142,0.931722,1.161026,1.409179,0.334598,-0.000731,0.181118,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,256.184906,1.400478,0.383154,154,0.904918,1.142474,1.442651,0.337170,-0.001943,0.181986,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,102.929688,1.393834,0.383773,140,0.928806,1.162723,1.400012,0.338073,-0.003246,0.181599,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,126.692711,1.401329,0.356654,141,0.910849,1.143578,1.436998,0.314239,-0.004056,0.168640,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,140.559891,1.401092,0.331953,142,0.878915,1.133378,1.469314,0.289883,-0.006455,0.161612,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,276.953125,1.399343,0.332812,150,0.910147,1.133225,1.496149,0.291175,-0.006617,0.161050,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,133.984375,1.393929,0.333237,155,0.880581,1.145543,1.447618,0.291177,-0.006845,0.161913,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,113.020836,1.396975,0.311962,155,0.902971,1.137638,1.481467,0.272432,-0.007700,0.151796,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,285.286469,1.394858,0.313638,143,0.864346,1.130953,1.508621,0.273856,-0.007984,0.152671,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,65.429688,1.390898,0.293473,140,0.906472,1.143022,1.487843,0.255326,-0.009043,0.144406,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,158.203125,1.396606,0.295642,143,0.873414,1.128274,1.518387,0.257110,-0.009501,0.145629,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,137.825516,1.387922,0.295771,144,0.915309,1.143996,1.504531,0.257431,-0.009550,0.145324,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,108.919273,1.391028,0.297522,155,0.861684,1.136210,1.499875,0.258489,-0.010034,0.146975,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,81.966148,1.388963,0.275429,144,0.902249,1.139880,1.513122,0.239482,-0.010146,0.135671,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,112.565102,1.393230,0.258833,154,0.851292,1.129605,1.520115,0.223418,-0.011171,0.130209,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
62,141.015625,1.395440,0.241222,154,0.872565,1.123736,1.554736,0.207758,-0.011935,0.121993,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
63,239.388016,1.384631,0.242107,152,0.839952,1.128085,1.585805,0.208365,-0.011409,0.122758,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
64,42.187500,1.382283,0.241052,150,0.867937,1.138697,1.541069,0.207613,-0.010892,0.122002,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
65,115.299477,1.383980,0.226023,152,0.857280,1.130488,1.581686,0.193327,-0.011524,0.116525,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
66,34.570312,1.372386,0.226221,157,0.854679,1.149620,1.528733,0.193382,-0.011627,0.116808,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
67,54.166668,1.378636,0.211711,146,0.852503,1.137090,1.569428,0.180192,-0.011853,0.110509,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
68,172.135422,1.381292,0.212694,149,0.851719,1.129543,1.610470,0.181239,-0.011383,0.110732,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
69,33.723957,1.379838,0.212174,157,0.853970,1.138172,1.553614,0.180502,-0.011346,0.110942,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
70,130.598953,1.384443,0.213892,140,0.847143,1.127756,1.594468,0.182282,-0.011093,0.111356,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
71,17.382812,1.378810,0.213983,147,0.859938,1.141412,1.541988,0.182240,-0.011577,0.111550,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
72,110.286461,1.384456,0.216235,147,0.847855,1.129259,1.582042,0.184517,-0.011189,0.112187,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
73,15.625000,1.358919,0.216444,163,0.878673,1.159935,1.564718,0.184759,-0.011132,0.112197,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
74,51.822918,1.366239,0.201568,156,0.831748,1.146872,1.579785,0.171877,-0.011167,0.104705,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
75,108.528648,1.370048,0.202054,149,0.860154,1.141645,1.609395,0.172744,-0.010625,0.104270,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
76,104.036461,1.372252,0.202265,156,0.815865,1.141007,1.571463,0.172408,-0.010653,0.105229,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
77,37.434895,1.375298,0.189129,153,0.851828,1.137451,1.593363,0.160830,-0.010816,0.098928,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
78,159.309891,1.378974,0.177877,148,0.813755,1.128589,1.620632,0.149448,-0.011137,0.095820,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
79,31.445312,1.377990,0.177381,147,0.857862,1.134366,1.600781,0.149353,-0.011397,0.095015,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
80,118.945312,1.381038,0.178660,145,0.810777,1.126749,1.616758,0.150188,-0.010587,0.096181,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
81,25.065104,1.380163,0.178136,154,0.855651,1.132051,1.600317,0.150233,-0.010259,0.095169,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
82,201.432297,1.383354,0.179459,147,0.814854,1.123840,1.624918,0.151132,-0.010515,0.096198,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
83,19.596354,1.381536,0.178759,152,0.853627,1.131405,1.592359,0.150804,-0.010712,0.095385,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
84,128.190109,1.385973,0.167618,149,0.823087,1.121567,1.625497,0.144130,-0.009771,0.085011,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
85,0.846354,1.371600,0.167659,155,0.850017,1.141919,1.585992,0.144127,-0.010028,0.085067,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
86,76.822914,1.377423,0.169737,144,0.818134,1.130599,1.618117,0.145854,-0.009848,0.086258,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
87,29.036459,1.374105,0.169715,149,0.862569,1.138387,1.603358,0.146026,-0.009097,0.086006,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
88,98.763023,1.379010,0.171397,160,0.814501,1.128897,1.617393,0.146969,-0.008945,0.087732,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
89,21.809896,1.377441,0.171205,150,0.856440,1.135856,1.591495,0.147105,-0.008515,0.087171,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
90,138.997391,1.382321,0.173054,154,0.816560,1.125707,1.616961,0.148475,-0.007808,0.088554,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
91,15.820312,1.378934,0.173059,153,0.859147,1.134239,1.594300,0.148725,-0.007640,0.088158,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
92,126.953125,1.383305,0.174829,154,0.813781,1.124974,1.613004,0.149907,-0.007826,0.089619,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
93,37.630207,1.381958,0.174943,147,0.856544,1.131569,1.589209,0.150328,-0.009102,0.089016,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
94,141.406250,1.385974,0.176756,144,0.816242,1.122274,1.614329,0.151652,-0.009061,0.090346,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
95,36.067707,1.382615,0.176618,159,0.860853,1.129957,1.600610,0.151790,-0.009334,0.089814,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
96,134.309891,1.386008,0.178177,152,0.811440,1.122238,1.612096,0.152727,-0.009292,0.091297,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
97,32.421875,1.384225,0.177997,155,0.855496,1.128771,1.592898,0.152948,-0.009391,0.090563,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
98,106.445312,1.387574,0.179569,147,0.808566,1.120832,1.609188,0.154046,-0.009452,0.091790,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
99,64.583336,1.386681,0.179322,153,0.853948,1.124732,1.606066,0.154389,-0.008972,0.090772,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
