iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,8920.637695,2.682047,0.283675,56,-0.016520,0.000000,1.153490,-0.073360,0.236260,0.138820,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,7318.880371,2.652946,0.258811,54,0.022028,0.014751,1.174050,-0.058087,0.224748,0.114444,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,5187.109375,2.624926,0.235907,58,0.060968,0.028888,1.194054,-0.041992,0.214122,0.089671,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,3990.690186,2.598298,0.217259,55,0.098284,0.041950,1.216699,-0.029311,0.204160,0.068270,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,3006.705811,2.572671,0.200693,58,0.137079,0.054621,1.237080,-0.015173,0.194030,0.048987,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,2654.362061,2.548065,0.186549,44,0.174188,0.066720,1.259870,0.000360,0.184164,0.029734,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,2512.239502,2.523993,0.176632,52,0.211518,0.078932,1.282023,0.010196,0.175923,0.012083,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,2168.424561,2.501573,0.168600,52,0.247229,0.089939,1.306498,0.020906,0.167254,-0.003861,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,1053.255249,2.479749,0.163034,52,0.279873,0.100999,1.334154,0.029661,0.159334,-0.017694,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,824.348938,2.457833,0.160032,48,0.313765,0.112852,1.359912,0.039970,0.151693,-0.031654,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,117.838539,2.436975,0.158469,53,0.345611,0.124271,1.387748,0.046674,0.144475,-0.045395,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,1073.307251,2.412627,0.160112,51,0.378729,0.140189,1.412036,0.059249,0.137274,-0.057282,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,1038.541626,2.388696,0.159598,52,0.417642,0.156671,1.427175,0.067751,0.129400,-0.064321,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,1067.057251,2.363121,0.160285,52,0.444592,0.175247,1.455736,0.072733,0.123691,-0.071427,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,1102.604126,2.339930,0.162113,50,0.469079,0.191943,1.486883,0.080963,0.116893,-0.077855,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,1246.484375,2.311797,0.163720,51,0.491827,0.214627,1.515862,0.085633,0.111498,-0.083901,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,1361.653687,2.284716,0.156874,55,0.523532,0.236577,1.536563,0.088551,0.104517,-0.076447,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,1296.028687,2.259690,0.159255,56,0.555958,0.256925,1.557224,0.093804,0.099598,-0.081506,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,1505.013062,2.221196,0.160123,57,0.567072,0.292816,1.580929,0.096280,0.095208,-0.085471,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
